term,dec_lat_va,elev_m,n,skew,slope_deg,ppt_m07_mm,ppt_m06_mm,ppt_m08_mm,dec_long_va,ppt_m04_mm,ppt_m05_mm,ppt_m09_mm,ppt_ann_mm,tmean_m01_c,tmean_m02_c,ppt_m10_mm,ppt_m01_mm,ppt_m11_mm,tmean_m12_c,ppt_m12_mm,tmean_m03_c,ppt_m02_mm,tmean_m08_c,tmean_m07_c,ppt_m03_mm,tmean_ann_c,tmean_m11_c,tmean_m09_c,tmean_m06_c,tmean_m04_c,tmean_m10_c,tmean_m05_c
dec_lat_va,NA,0.37116454356800077,0.09095120481498545,0.023618140792932212,-0.04912986418687322,-0.04043810265846695,-0.056170179130442456,-0.20235289355286487,-0.1721341830884103,-0.3208742317471209,-0.35515072187223873,-0.4691958864638274,-0.46122319000698514,-0.9328601683385915,-0.9548394756583537,-0.5726661815121222,-0.6297842347579873,-0.5998486048123285,-0.9681754512855932,-0.6368919346304623,-0.9740805342291862,-0.6475290614145139,-0.9298607584778908,-0.9323680072907061,-0.6857126309285624,-0.9781493547137167,-0.9797496705345847,-0.9585122754850061,-0.9415555362549287,-0.9612644427162671,-0.9697141495114742,-0.939160086645315
elev_m,0.37116454356800077,NA,-0.06993550527817542,0.13945830092269113,0.031886272754265685,-0.5519229107067251,-0.7264585516509438,-0.6008704136157615,-0.8419435084695074,-0.721955380849732,-0.7422426677132301,-0.8960631722965914,-0.8782567687543972,-0.1873172973569118,-0.252034537145997,-0.8832890453326291,-0.8238355848006729,-0.8627885673106387,-0.33479232687761495,-0.8652344654087138,-0.3486675092836242,-0.8223382315061759,-0.46039284642303696,-0.46375210772645953,-0.8147711375825403,-0.41495749457308156,-0.4333590708007543,-0.5006739103579637,-0.5497397599494288,-0.504160427243777,-0.5039398839781545,-0.5780277948679722
n,0.09095120481498545,-0.06993550527817542,NA,-0.12344364163367615,-0.012067132445763526,0.10197341228508809,0.08605887271148562,0.10867564804174404,0.11666403854034384,0.014304050828839766,0.01814178161820566,0.05863298947284956,0.023762627334792737,-0.1399708958863888,-0.13011367554606826,0.00550350323010096,-0.01014750203700448,0.0012108291166990513,-0.1178125472599158,-0.005525534400709336,-0.11086979568991019,-0.01789331083544034,-0.10310350067562768,-0.09881605175826344,-0.025548298342986366,-0.09677842721709881,-0.09512540517569287,-0.08160124970478305,-0.061311053337054805,-0.0744447972752454,-0.0765103509918756,-0.0551000547945106
skew,0.023618140792932212,0.13945830092269113,-0.12344364163367615,NA,-5.021191178271539e-4,-0.07915739978142813,-0.06112299856899525,-0.05409088623026639,-0.11326637422248458,0.014887987839250081,-0.04342790736274269,-0.08567549134499883,-0.0777311419375211,0.052306215515291285,0.03267664286897529,-0.08768034475385765,-0.06194858915462694,-0.061673074267547416,0.01888896365557345,-0.07142707079784735,0.004424321191495965,-0.0507814280656073,-0.054839333570601494,-0.053703715369360486,-0.05285790536312819,-0.017020691263134203,-0.01033347372655392,-0.05799890805620407,-0.07532802647655247,-0.03801114768781941,-0.04175400762177365,-0.07187854479420905
slope_deg,-0.04912986418687322,0.031886272754265685,-0.012067132445763526,-5.021191178271539e-4,NA,-0.05676494792345372,-0.06628126569902235,-0.059952614538339284,-0.0502177258691142,-0.018761246019453906,-0.0034278478716830165,-0.002533870771046845,-0.021211116406979372,0.07470824801230876,0.06266164062285072,-0.0024491996288445493,0.035771468230946034,0.021011873711695772,0.06076969016309962,0.02136793639903735,0.047672067102406,0.025921012859291635,0.016274947761913763,0.014221588585477686,0.013217158464225396,0.03947881651138683,0.048217546483879076,0.01945718155781419,0.0122487987552525,0.030154604031074717,0.032809192630061317,0.015448951617656081
ppt_m07_mm,-0.04043810265846695,-0.5519229107067251,0.10197341228508809,-0.07915739978142813,-0.05676494792345372,NA,0.8457027497228724,0.8995332457537328,0.8234239906694134,0.6910763852849284,0.7204747977863836,0.6359783381044143,0.7009760159695905,-0.18224044547393084,-0.11627837516034728,0.4974439387230694,0.32817458601161936,0.4822733480927273,-0.03828759666114667,0.46765730314185094,-0.022646995722499827,0.3966273920222925,0.056249271838498205,0.07305006284952044,0.45696862467747973,0.04237808975912586,0.057179968373371914,0.11890530595858893,0.16379484679166817,0.11350719756265701,0.12063024542086122,0.1792300700247016
ppt_m06_mm,-0.056170179130442456,-0.7264585516509438,0.08605887271148562,-0.06112299856899525,-0.06628126569902235,0.8457027497228724,NA,0.8815472735311239,0.919823038056062,0.8527205163499977,0.8566090372182907,0.7811811305261838,0.8556445288116117,-0.1521785744400248,-0.08434933481909039,0.7139518182345519,0.5576689679780399,0.6884370074304987,0.0036059076210885666,0.6597147334264518,0.01775774356169578,0.6082821611242689,0.12070466357842317,0.13706280625282696,0.6433753149969635,0.08883582063825227,0.10942601782440758,0.17520358078900883,0.22881419543262607,0.18162931936826682,0.1830170479561142,0.25674884896842337
ppt_m08_mm,-0.20235289355286487,-0.6008704136157615,0.10867564804174404,-0.05409088623026639,-0.059952614538339284,0.8995332457537328,0.8815472735311239,NA,0.8701843776452907,0.7933361675342856,0.7793390201026016,0.7112725480923655,0.7857582778498595,-0.03324975325484981,0.03366744303224376,0.6100691520199356,0.46271626267309796,0.606083598999564,0.1167938561310529,0.5912056948860342,0.13386737546990515,0.5255113618088723,0.19069027762819762,0.21682607730335762,0.5888229255380083,0.20033697907533296,0.21881454086164695,0.2674528008610192,0.31499717281617085,0.27361686327684737,0.28134361953807474,0.3325923466483598
dec_long_va,-0.1721341830884103,-0.8419435084695074,0.11666403854034384,-0.11326637422248458,-0.0502177258691142,0.8234239906694134,0.919823038056062,0.8701843776452907,NA,0.8424000938180035,0.8268406606971893,0.8595261684422925,0.8903638774725594,-0.08301727484649386,-0.009306130314540388,0.7795004469482195,0.6581386007870421,0.7659741337069078,0.08857440398523525,0.7471260665681559,0.10465485802597832,0.68728860916225,0.20473615147422441,0.2243475936680618,0.7127674395581338,0.1836113210998383,0.2082076876440254,0.2762636507882221,0.33556209230810247,0.28245812420496297,0.28837554821919703,0.3656305903799903
ppt_m04_mm,-0.3208742317471209,-0.721955380849732,0.014304050828839766,0.014887987839250081,-0.018761246019453906,0.6910763852849284,0.8527205163499977,0.7933361675342856,0.8424000938180035,NA,0.9242699327458664,0.8095912049081809,0.9218596120030774,0.17198813679344913,0.22501779878189543,0.8160060372543753,0.7080515007902696,0.8251274433693548,0.30201045824081046,0.7868484454220057,0.3079677813084162,0.7880750042733752,0.36177409353703593,0.37282321037768534,0.8300906069877361,0.3595319829037556,0.38322313677921793,0.40252245845625073,0.419528045140028,0.41998090311101727,0.4202819139790869,0.44629962514559324
