site_no,dec_lat_va,dec_long_va,ppt_m01_mm,ppt_m02_mm,ppt_m03_mm,ppt_m04_mm,ppt_m05_mm,ppt_m06_mm,ppt_m07_mm,ppt_m08_mm,ppt_m09_mm,ppt_m10_mm,ppt_m11_mm,ppt_m12_mm,ppt_ann_mm,tmean_m01_c,tmean_m02_c,tmean_m03_c,tmean_m04_c,tmean_m05_c,tmean_m06_c,tmean_m07_c,tmean_m08_c,tmean_m09_c,tmean_m10_c,tmean_m11_c,tmean_m12_c,tmean_ann_C
08163500,29.4432973,-96.9449819,70.26239776611328,55.11549758911133,71.704498291015625,73.2667007446289,111.7958984375,110.54850006103516,64.45800018310547,80.48249816894531,93.9468994140625,103.80189514160156,79.71489715576172,66.34089660644531,981.440185546875,11.369799613952637,13.499399185180664,17.042400360107422,20.52680015563965,24.587299346923828,27.71969985961914,28.82339859008789,29.236499786376953,26.570199966430664,21.838499069213867,16.28689956665039,12.361499786376953,20.81999969482422
08175000,29.2152475,-97.4494353,58.86979675292969,47.12220001220703,71.40760040283203,69.27839660644531,105.65359497070312,91.24520111083984,67.42140197753906,73.09230041503906,93.90629577636719,89.53369903564453,66.16429901123047,60.366798400878906,894.0628662109375,11.681099891662598,13.804999351501465,17.329999923706055,20.872900009155273,24.95509910583496,27.996898651123047,29.147199630737305,29.470298767089844,26.788000106811523,22.1924991607666,16.61319923400879,12.622900009155273,21.119998931884766
07386000,30.37658758,-92.0431756,172.5457000732422,118.3582992553711,106.27799987792969,125.635498046875,141.8221893310547,170.07550048828125,141.9365997314453,137.26390075683594,135.2781982421875,127.32959747314453,122.70549774169922,127.23149871826172,1626.4619140625,10.907299995422363,12.899199485778809,16.48900032043457,20.020299911499023,24.10689926147461,27.134899139404297,28.048999786376953,28.078699111938477,25.823299407958984,20.901199340820312,15.474299430847168,12.040399551391602,20.15999984741211
07386500,30.42797613,-92.0917879,172.42759704589844,120.00759887695312,107.57640075683594,126.21199798583984,141.08450317382812,166.4451904296875,139.2758026123047,136.1345977783203,134.0561981201172,127.18930053710938,122.83079528808594,127.18470001220703,1620.4259033203125,10.868399620056152,12.893799781799316,16.495399475097656,20.00429916381836,24.096099853515625,27.130599975585938,28.058799743652344,28.095399856567383,25.81879997253418,20.888198852539062,15.449999809265137,12.009099960327148,20.149999618530273
07386880,30.2174229,-91.9928975,161.58139038085938,113.69319915771484,102.7667007446289,128.24240112304688,130.77670288085938,178.8509979248047,158.31430053710938,157.69808959960938,134.8557891845703,123.03630065917969,126.8031997680664,123.04940032958984,1639.6697998046875,10.983499526977539,12.915299415588379,16.474498748779297,19.997400283813477,24.083999633789062,27.102298736572266,27.97429847717285,27.97439956665039,25.800399780273438,20.877300262451172,15.47719955444336,12.11199951171875,20.149999618530273
07386980,29.9511111,-92.1563611,145.9106903076172,104.37680053710938,95.76899719238281,128.67909240722656,120.96009826660156,175.7666015625,178.13710021972656,172.7115020751953,140.16329956054688,120.42659759521484,117.09040069580078,112.92900085449219,1612.921630859375,10.940799713134766,12.98759937286377,16.472900390625,19.968198776245117,24.098798751831055,27.097599029541016,27.996198654174805,27.924299240112305,25.915998458862305,21.01609992980957,15.573999404907227,12.174399375915527,20.18000030517578
08010000,30.48288889,-92.4906944,166.2512969970703,122.94049835205078,104.839599609375,120.902099609375,131.47000122070312,143.25430297851562,131.98599243164062,125.035400390625,129.60870361328125,126.38800048828125,123.831298828125,127.11940002441406,1553.628173828125,10.500899314880371,12.627599716186523,16.27789878845215,20.037599563598633,24.214698791503906,27.42099952697754,28.403900146484375,28.507598876953125,25.99989891052246,20.894800186157227,15.308499336242676,11.682700157165527,20.15999984741211
08012000,30.48077778,-92.63175,162.55130004882812,119.05030059814453,104.67549896240234,127.87639617919922,131.20838928222656,148.47740173339844,135.29209899902344,129.47789001464844,130.42160034179688,126.16169738769531,126.04100036621094,133.18260192871094,1574.4176025390625,10.490699768066406,12.606800079345703,16.227399826049805,19.91320037841797,24.06909942626953,27.228099822998047,28.22249984741211,28.324499130249023,25.898799896240234,20.815500259399414,15.296199798583984,11.703999519348145,20.06999969482422
08012150,30.19,-92.5905556,159.04100036621094,111.47100067138672,95.87049865722656,131.8656005859375,134.70970153808594,160.88259887695312,145.0612030029297,159.2231903076172,139.82839965820312,120.05469512939453,125.09239959716797,122.36429595947266,1605.466064453125,10.64989948272705,12.685500144958496,16.302799224853516,19.973499298095703,24.096099853515625,27.10719871520996,28.045700073242188,28.109298706054688,25.92799949645996,20.995899200439453,15.48799991607666,11.88499927520752,20.10999870300293
08012470,30.07,-92.8788611,147.61070251464844,103.19869995117188,87.819000244140625,122.62680053710938,122.77349853515625,167.02349853515625,146.45529174804688,154.74310302734375,144.8385009765625,117.04039764404297,124.7813949584961,122.33589935302734,1561.2481689453125,10.93589973449707,12.965299606323242,16.521299362182617,20.10089874267578,24.175800323486328,27.265798568725586,28.25189971923828,28.29759979248047,26.19839859008789,21.353899002075195,15.782099723815918,12.132899284362793,20.329898834228516
