site_no,dec_long_va,skew,elev_m,slope_deg,tmean_m01_c,ppt_spring_mm,ppt_summer_mm,ppt_winter_mm
05049000,-96.4902245,-0.8197291773759305,301,0.2155122607946396,-12.031000137329102,261.3952941894531,233.3097915649414,54.094200134277344
05051600,-97.511485,-0.882334784598409,367,0.5603087544441223,-12.136300086975098,260.18499183654785,215.8113021850586,46.76539993286133
05051650,-97.3619276,-1.2208560959080823,410,0.8916150331497192,-11.749199867248535,267.03260040283203,229.8479995727539,52.13730049133301
05052000,-97.0106403,-0.3211885926211922,307,1.508244514465332,-12.45699977874756,257.2523937225342,229.86609649658203,52.44779968261719
05052500,-96.7345217,-0.9956895566330038,286,1.7044605016708374,-12.701199531555176,260.00659370422363,237.11280059814453,52.910898208618164
05053000,-96.7823018,-1.1137455013498505,283,2.316287040710449,-12.8218994140625,259.24649810791016,227.90159606933594,51.51599979400635
05054000,-96.7836924,0.14638900980482464,267,0.845464289188385,-13.179699897766112,255.59299850463867,225.78599548339844,53.18560028076172
05054500,-99.9490145,-0.09241629201579687,474,0.80100417137146,-13.082399368286133,202.4181900024414,181.30959701538086,38.16469860076904
05055300,-99.4155556,-0.23406610068784484,437,0.3604204058647156,-13.679999351501465,211.600191116333,195.17159271240234,38.40989875793457
05056000,-98.7162172,-0.5737819490522427,420,0.98267197608947765,-13.905799865722656,209.17509651184082,207.1729965209961,40.59119892120361
05056215,-98.6809499,-1.8460414315178788,447,0.7225340008735657,-14.496299743652344,211.37029838562012,209.48129272460938,40.54329967498779
05056239,-98.9406851,-0.7865454327644977,444,0.2155122607946396,-14.461400032043455,213.7978973388672,205.89550018310547,39.29999923706055
05056340,-99.3729125,-1.7194419258609586,455,0.53731536865234375,-14.387899398803713,214.63369178771973,196.41249465942383,40.95949935913086
05057000,-98.0275954,-0.5352524612228388,392,0.4310184121131897,-13.982399940490724,228.65929222106934,226.4076919555664,43.904799461364746
05057200,-98.1248189,-0.3167632521203394,409,11.056623458862305,-13.65030002593994,222.6950969696045,212.07769775390625,43.77729892730713
05059500,-96.9070286,-0.05398357301858453,273,0.845867395401001,-13.229799270629885,252.8991985321045,227.69190216064453,52.446499824523926
05059600,-97.7906537,-1.7095095663496347,398,2.365420341491699,-13.91309928894043,224.2686939239502,219.9724006652832,44.439297676086426
05059700,-97.5739851,-0.7069093761223528,324,0.5677099823951721,-12.7322998046875,244.36109733581543,219.56729125976562,48.13730049133301
05060000,-97.106477,-0.7775812504673137,277,0.18982096016407013,-13.305399894714355,248.51809883117676,226.37449645996094,48.88939952850342
05060100,-97.052587,-0.29712105524482396,273,0.48136451840400696,-13.360899925231934,248.95539474487305,227.49969482421875,50.88529968261719
05060500,-97.214254,-0.5250725022865929,290,0.4823128879070282,-13.490799903869627,241.23179817199707,227.08019256591797,48.643797874450684
05061000,-96.32912,-0.4388660109860338,341,1.9840011596679688,-13.291299819946287,271.28169441223145,250.49859619140625,53.819101333618164
05061200,-96.398873,-0.08430855499159452,317,0.3113498091697693,-12.961699485778809,269.9691982269287,245.71119689941406,53.82719898223877
05061500,-96.627747,-0.21744724896468268,279,0.8985040187835693,-13.18139934539795,264.03269386291504,234.75399780273438,53.515098571777344
05062000,-96.661716,-0.41731553852302544,272,1.142417550086975,-13.238899230957031,255.87549209594727,230.2096939086914,54.22410011291504
05062200,-97.114253,-1.7929062111086815,276,2.310452461242676,-13.743099212646484,238.56939888000488,236.04639434814453,52.567498207092285
05062500,-96.2475,-0.25485163756429474,310,0.9024947881698608,-13.85349941253662,255.9881935119629,238.4550018310547,53.875
05063398,-96.386064,-0.7076365959490293,295,0.2155122607946396,-13.511399269104004,255.6653938293457,238.1374969482422,55.374399185180664
05064900,-97.7091667,-0.968419285448088,360,1.0936954021453855,-14.06309986114502,231.7562961578369,222.32549667358398,46.32529830932617
05065500,-97.453424,-0.4833100913373803,299,0.5743603110313416,-13.996699333190918,235.043701171875,225.61019897460938,47.31899929046631
05066500,-97.0611974,-0.7766688319885815,272,2.4837474822998047,-13.885600090026855,234.5092945098877,227.44390106201172,53.69740009307861
05069000,-96.8147998,-0.5309710518968941,260,3.638289451599121,-14.21269989013672,233.98449516296387,224.30859375,57.60449981689453
05076000,-96.169948,-1.604444338047073,342,0.4926479160785675,-14.775599479675291,228.20319366455078,237.97109985351562,51.657798767089844
05076500,-96.1808698,-0.564678738672216,337,0.578713595867157,-14.746500015258787,227.4910945892334,236.36319732666016,50.717599868774414
05078000,-96.046235,-0.17098328182196634,338,0.7709147930145264,-14.652599334716797,230.83779525756836,236.9135971069336,53.40989875793457
05078230,-95.85835,-0.6593239036455038,348,0.9188857674598694,-14.653800010681152,237.58199501037598,241.65850067138672,55.11509895324707
05078500,-96.2765806,-0.280026654169566,294,2.4100887775421143,-14.599799156188965,233.38809776306152,237.3095932006836,51.18329906463623
05079000,-96.6100767,-0.5281180236078493,261,3.5641486644744873,-14.470199584960938,226.29459190368652,227.01100158691406,48.90799808502197
05080000,-96.8095627,-0.4900196378654561,248,0.8024816513061523,-14.365099906921388,228.55080032348633,227.22069549560547,51.92069911956787
05082500,-97.0292435,-0.08217817590277735,246,3.578803300857544,-14.288000106811523,223.9638900756836,226.39269256591797,49.247798919677734
05083000,-97.1845207,0.28465903194133674,248,6.361109437179021e-15,-14.422699928283691,224.34800148010254,222.25099563598633,51.90989875793457
05117500,-101.371361,-1.063955497105711,475,0.5621429085731506,-12.527299880981444,209.97099685668945,163.2589988708496,47.76849937438965
