NA_L3CODE,NA_L3NAME,prism_ppt_seasonal_iqr_mm
9.2.1,Aspen Parkland/Northern Glaciated Plains,58.96574401855469
9.2.1,Aspen Parkland/Northern Glaciated Plains,86.58735656738281
9.2.1,Aspen Parkland/Northern Glaciated Plains,77.02085876464844
9.2.1,Aspen Parkland/Northern Glaciated Plains,65.24334716796875
9.2.1,Aspen Parkland/Northern Glaciated Plains,53.41825485229492
9.2.1,Aspen Parkland/Northern Glaciated Plains,54.35866928100586
9.2.1,Aspen Parkland/Northern Glaciated Plains,78.17448425292969
9.2.1,Aspen Parkland/Northern Glaciated Plains,72.93329620361328
9.2.1,Aspen Parkland/Northern Glaciated Plains,53.94355392456055
9.2.1,Aspen Parkland/Northern Glaciated Plains,53.75830078125
9.2.1,Aspen Parkland/Northern Glaciated Plains,68.9119644165039
9.2.1,Aspen Parkland/Northern Glaciated Plains,56.357330322265625
9.2.1,Aspen Parkland/Northern Glaciated Plains,75.26283264160156
9.2.1,Aspen Parkland/Northern Glaciated Plains,70.71417999267578
9.2.1,Aspen Parkland/Northern Glaciated Plains,54.94090270996094
9.2.1,Aspen Parkland/Northern Glaciated Plains,57.49571228027344
9.2.1,Aspen Parkland/Northern Glaciated Plains,53.7630729675293
9.2.1,Aspen Parkland/Northern Glaciated Plains,64.5205078125
9.2.1,Aspen Parkland/Northern Glaciated Plains,56.833274841308594
9.2.1,Aspen Parkland/Northern Glaciated Plains,55.52518844604492
9.2.1,Aspen Parkland/Northern Glaciated Plains,55.83628463745117
9.2.1,Aspen Parkland/Northern Glaciated Plains,54.621124267578125
9.2.1,Aspen Parkland/Northern Glaciated Plains,51.33210372924805
9.2.1,Aspen Parkland/Northern Glaciated Plains,54.66818618774414
9.2.1,Aspen Parkland/Northern Glaciated Plains,55.245513916015625
9.2.1,Aspen Parkland/Northern Glaciated Plains,88.10546112060547
9.2.1,Aspen Parkland/Northern Glaciated Plains,51.72259521484375
9.2.1,Aspen Parkland/Northern Glaciated Plains,57.7545166015625
9.2.1,Aspen Parkland/Northern Glaciated Plains,58.46474838256836
9.2.1,Aspen Parkland/Northern Glaciated Plains,56.8243293762207
9.2.1,Aspen Parkland/Northern Glaciated Plains,54.44504928588867
9.2.1,Aspen Parkland/Northern Glaciated Plains,55.204185485839844
9.2.1,Aspen Parkland/Northern Glaciated Plains,53.69089889526367
9.2.1,Aspen Parkland/Northern Glaciated Plains,54.40529251098633
9.2.1,Aspen Parkland/Northern Glaciated Plains,56.37065505981445
9.2.1,Aspen Parkland/Northern Glaciated Plains,52.513160705566406
9.2.1,Aspen Parkland/Northern Glaciated Plains,54.8968505859375
9.2.1,Aspen Parkland/Northern Glaciated Plains,54.60514450073242
9.2.1,Aspen Parkland/Northern Glaciated Plains,56.30147171020508
9.2.1,Aspen Parkland/Northern Glaciated Plains,53.93114471435547
9.2.1,Aspen Parkland/Northern Glaciated Plains,72.15062713623047
9.2.1,Aspen Parkland/Northern Glaciated Plains,54.540504455566406
9.2.1,Aspen Parkland/Northern Glaciated Plains,55.095420837402344
9.2.1,Aspen Parkland/Northern Glaciated Plains,72.24293518066406
9.2.2,Lake Manitoba and Lake Agassiz Plain,58.18100357055664
9.2.2,Lake Manitoba and Lake Agassiz Plain,68.35926055908203
9.2.2,Lake Manitoba and Lake Agassiz Plain,65.925811767578125
9.2.2,Lake Manitoba and Lake Agassiz Plain,55.40595626831055
9.2.2,Lake Manitoba and Lake Agassiz Plain,69.06324005126953
9.2.2,Lake Manitoba and Lake Agassiz Plain,53.578834533691406
9.2.2,Lake Manitoba and Lake Agassiz Plain,55.964256286621094
9.2.2,Lake Manitoba and Lake Agassiz Plain,56.61369705200195
9.2.2,Lake Manitoba and Lake Agassiz Plain,54.8238410949707
9.2.2,Lake Manitoba and Lake Agassiz Plain,55.58672332763672
9.2.2,Lake Manitoba and Lake Agassiz Plain,53.02686309814453
9.2.3,Western Corn Belt Plains,107.8282699584961
9.2.3,Western Corn Belt Plains,107.1307144165039
9.2.3,Western Corn Belt Plains,112.81574249267578
9.2.3,Western Corn Belt Plains,97.59224700927734
9.2.3,Western Corn Belt Plains,116.51670837402344
9.2.3,Western Corn Belt Plains,118.81453704833984
9.2.3,Western Corn Belt Plains,104.36214447021484
9.2.3,Western Corn Belt Plains,114.99560546875
9.2.3,Western Corn Belt Plains,109.3953628540039
