NA_L3CODE,NA_L3NAME,prism_ppt_seasonal_sd_mm
9.2.1,Aspen Parkland/Northern Glaciated Plains,84.066650390625
9.2.1,Aspen Parkland/Northern Glaciated Plains,86.3373031616211
9.2.1,Aspen Parkland/Northern Glaciated Plains,90.6551513671875
9.2.1,Aspen Parkland/Northern Glaciated Plains,92.08465576171875
9.2.1,Aspen Parkland/Northern Glaciated Plains,74.01834869384766
9.2.1,Aspen Parkland/Northern Glaciated Plains,86.84778594970703
9.2.1,Aspen Parkland/Northern Glaciated Plains,93.23823547363281
9.2.1,Aspen Parkland/Northern Glaciated Plains,83.2248764038086
9.2.1,Aspen Parkland/Northern Glaciated Plains,71.3135757446289
9.2.1,Aspen Parkland/Northern Glaciated Plains,78.75987243652344
9.2.1,Aspen Parkland/Northern Glaciated Plains,88.77940368652344
9.2.1,Aspen Parkland/Northern Glaciated Plains,83.22553253173828
9.2.1,Aspen Parkland/Northern Glaciated Plains,90.79454803466797
9.2.1,Aspen Parkland/Northern Glaciated Plains,84.0106201171875
9.2.1,Aspen Parkland/Northern Glaciated Plains,88.5302734375
9.2.1,Aspen Parkland/Northern Glaciated Plains,89.036865234375
9.2.1,Aspen Parkland/Northern Glaciated Plains,78.40796661376953
9.2.1,Aspen Parkland/Northern Glaciated Plains,87.41038513183594
9.2.1,Aspen Parkland/Northern Glaciated Plains,84.7916259765625
9.2.1,Aspen Parkland/Northern Glaciated Plains,81.97186279296875
9.2.1,Aspen Parkland/Northern Glaciated Plains,79.36090850830078
9.2.1,Aspen Parkland/Northern Glaciated Plains,86.39018249511719
9.2.1,Aspen Parkland/Northern Glaciated Plains,75.87369537353516
9.2.1,Aspen Parkland/Northern Glaciated Plains,89.49146270751953
9.2.1,Aspen Parkland/Northern Glaciated Plains,81.26850128173828
9.2.1,Aspen Parkland/Northern Glaciated Plains,90.27166748046875
9.2.1,Aspen Parkland/Northern Glaciated Plains,78.4010238647461
9.2.1,Aspen Parkland/Northern Glaciated Plains,84.51078033447266
9.2.1,Aspen Parkland/Northern Glaciated Plains,84.78684997558594
9.2.1,Aspen Parkland/Northern Glaciated Plains,87.31153869628906
9.2.1,Aspen Parkland/Northern Glaciated Plains,88.93290710449219
9.2.1,Aspen Parkland/Northern Glaciated Plains,83.40996551513672
9.2.1,Aspen Parkland/Northern Glaciated Plains,87.39320373535156
9.2.1,Aspen Parkland/Northern Glaciated Plains,87.351104736328125
9.2.1,Aspen Parkland/Northern Glaciated Plains,91.68408966064453
9.2.1,Aspen Parkland/Northern Glaciated Plains,86.45471954345703
9.2.1,Aspen Parkland/Northern Glaciated Plains,79.44767761230469
9.2.1,Aspen Parkland/Northern Glaciated Plains,90.72241973876953
9.2.1,Aspen Parkland/Northern Glaciated Plains,90.82898712158203
9.2.1,Aspen Parkland/Northern Glaciated Plains,88.6872329711914
9.2.1,Aspen Parkland/Northern Glaciated Plains,80.8409194946289
9.2.1,Aspen Parkland/Northern Glaciated Plains,87.30009460449219
9.2.1,Aspen Parkland/Northern Glaciated Plains,88.31104278564453
9.2.1,Aspen Parkland/Northern Glaciated Plains,84.14299011230469
9.2.2,Lake Manitoba and Lake Agassiz Plain,87.5053482055664
9.2.2,Lake Manitoba and Lake Agassiz Plain,92.51551818847656
9.2.2,Lake Manitoba and Lake Agassiz Plain,90.51396942138672
9.2.2,Lake Manitoba and Lake Agassiz Plain,86.84717559814453
9.2.2,Lake Manitoba and Lake Agassiz Plain,92.26087188720703
9.2.2,Lake Manitoba and Lake Agassiz Plain,85.59147644042969
9.2.2,Lake Manitoba and Lake Agassiz Plain,87.01691436767578
9.2.2,Lake Manitoba and Lake Agassiz Plain,88.940643310546875
9.2.2,Lake Manitoba and Lake Agassiz Plain,87.3407974243164
9.2.2,Lake Manitoba and Lake Agassiz Plain,90.0772933959961
9.2.2,Lake Manitoba and Lake Agassiz Plain,86.92243957519531
9.2.3,Western Corn Belt Plains,107.89442443847656
9.2.3,Western Corn Belt Plains,103.35753631591797
9.2.3,Western Corn Belt Plains,116.03995513916016
9.2.3,Western Corn Belt Plains,99.35749053955078
9.2.3,Western Corn Belt Plains,106.39361572265625
9.2.3,Western Corn Belt Plains,108.89970397949219
9.2.3,Western Corn Belt Plains,98.62591552734375
9.2.3,Western Corn Belt Plains,104.77965545654297
9.2.3,Western Corn Belt Plains,102.94254302978516
9.2.3,Western Corn Belt Plains,106.59278106689453
9.2.3,Western Corn Belt Plains,97.9021987915039
