agency_cd,site_no,peak_dt,peak_tm,peak_va,peak_cd,gage_ht,gage_ht_cd,year_last_pk,ag_dt,ag_tm,ag_gage_ht,ag_gage_ht_cd,peak_dateTime,ag_dateTime
USGS,06053050,1974-01-16,NA,297,NA,3.46,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06053050,1975-05-10,NA,120,NA,3.18,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06053050,1976-04-12,NA,50,2,3.78,1,NA,NA,NA,NA,NA,NA,NA
USGS,06053050,1977-04-06,NA,13,2,2.1,1,NA,NA,NA,NA,NA,NA,NA
USGS,06053050,1978-03-26,NA,130,NA,2.89,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06053050,1979-06-19,NA,70,NA,3.03,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06053050,1980-05-25,NA,120,NA,2.85,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06053050,1981-05-22,NA,140,NA,2.93,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06053050,1982-04-27,NA,12,1,1.8,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06053050,1983-05-20,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06053050,1984-01-05,NA,60,2,2.95,1,NA,NA,NA,NA,NA,NA,NA
USGS,06053050,1985-04-02,NA,25,2,3.05,1,NA,NA,NA,NA,NA,NA,NA
USGS,06053050,1986-02-24,NA,80,2,3.98,1,NA,NA,NA,NA,NA,NA,NA
USGS,06053050,1987-05-21,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06053050,1988-04-18,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06053050,1989-04-23,NA,17,NA,2.35,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06053050,1990-03-20,NA,19,NA,1.97,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06053050,1991-04-24,NA,5,NA,1.47,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06053050,1992-06-16,NA,100,NA,2.92,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06053050,1993-07-26,NA,280,NA,3.46,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06053050,1994-04-24,NA,5,NA,1.51,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06053050,1995-05-12,NA,51,NA,2.36,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06053050,1996-02-08,NA,300,NA,3.62,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06053050,1997-06-18,NA,143,NA,3.3,2,NA,1997-03-20,NA,3.72,1,NA,NA
USGS,06053050,1998-06-16,NA,37,NA,2.57,2,NA,1998-03-15,NA,2.77,1,NA,NA
USGS,06053050,1999-08-05,NA,8.2,NA,1.86,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06053050,2000-05-17,NA,2.4,NA,1.31,2,NA,2000-01-01,NA,1.51,1,NA,NA
USGS,06053050,2001-04-29,NA,2,2,1.44,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06053050,2002-05-22,NA,8.2,NA,1.85,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06053050,2003-03-13,NA,258,NA,3.99,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06053050,2004-06-11,NA,7.8,NA,1.83,2,NA,2004-03-09,NA,2.24,1,NA,NA
USGS,06053050,2005-04-19,NA,18,NA,2.17,6,NA,NA,NA,NA,NA,NA,NA
USGS,06053050,2006-04-08,NA,24,NA,8.33,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06053050,2007-03-13,NA,67,NA,8.92,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06053050,2008-05-24,NA,11,NA,8.04,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06053050,2009-05-12,NA,7.8,NA,7.83,2,NA,2009-01-01,NA,9.23,1,NA,NA
USGS,06053050,2010-06-11,NA,15,NA,8.13,2,NA,2010-01-01,NA,8.56,1,NA,NA
USGS,06053050,2011-05-09,NA,28,NA,8.63,2,NA,2011-03-30,NA,9.93,1,NA,NA
USGS,06053050,2012-04-27,NA,5.2,NA,7.84,2,NA,2012-03-04,NA,8.6,1,NA,NA
USGS,06053050,2013-05-19,NA,4,4,NA,NA,NA,2013-04-12,NA,8.01,1,NA,NA
USGS,06053050,2014-05-25,NA,20.1,NA,8.77,2,NA,2014-03-16,NA,10.21,1,NA,NA
USGS,06053050,2015-04-25,NA,41.2,NA,9.45,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06053050,2016-02-13,NA,3,2,8.39,1,NA,NA,NA,NA,NA,NA,NA
USGS,06053050,2017-04-24,NA,72.8,NA,9.51,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06053050,2018-04-28,NA,64.7,NA,9.39,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06053050,2019-04-21,NA,56.5,NA,9.26,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06053050,2020-05-13,NA,12.9,NA,8.24,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06053050,2021-04-19,13:00,30.7,NA,8.76,NA,NA,NA,NA,NA,NA,2021-04-19T13:00:00Z,NA
USGS,06053050,NA,NA,2.96,"4,Bm",7.66,"4,Bm",NA,NA,NA,NA,NA,NA,NA
USGS,06053050,2023-04-10,20:30,83.9,NA,10.34,NA,NA,NA,NA,NA,NA,2023-04-10T20:30:00Z,NA
USGS,06065500,1923-05-28,NA,20500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06065500,1924-05-21,NA,17900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06065500,1925-05-22,NA,22400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06065500,1926-05-26,NA,13300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06065500,NA,NA,33300,"1,Bd",NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06065500,1928-05-14,NA,21900,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06065500,1929-06-19,NA,18000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06065500,1930-04-17,NA,10000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06065500,1931-04-17,NA,6690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06065500,1932-06-20,NA,13300,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06065500,1933-06-20,NA,12700,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06065500,1934-04-20,NA,5500,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06065500,1935-06-13,NA,11100,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06065500,1936-05-18,NA,11100,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06065500,1937-07-02,NA,4420,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06065500,1938-07-06,NA,17300,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06065500,1939-05-08,NA,10100,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06065500,1940-05-16,NA,8910,1,6.48,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06065500,1941-06-11,NA,10200,1,6.6,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06065500,1942-06-10,NA,25000,NA,11.75,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06065500,1995-06-19,NA,15700,5,8.97,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06065500,1996-06-12,NA,21200,5,10.76,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06065500,1997-06-18,NA,24000,5,11.62,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06065500,1998-07-03,NA,19300,5,10.12,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06065500,1999-06-06,NA,12000,5,7.52,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06065500,2000-03-13,NA,5150,5,4.46,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06065500,2000-12-07,NA,4000,5,3.83,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06065500,2002-07-23,NA,3400,5,3.48,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06065500,2003-06-04,NA,10100,5,6.77,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06065500,2004-03-17,NA,3980,5,3.82,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06065500,2005-06-23,NA,6910,5,5.34,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06065500,2006-05-05,NA,6620,5,5.2,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06065500,2007-06-11,NA,5690,5,4.74,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06065500,2008-06-04,NA,14900,5,8.6,2,NA,2008-06-07,NA,8.62,1,NA,NA
USGS,06065500,2009-05-28,NA,11500,5,7.35,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06065500,2010-06-17,NA,18400,5,9.82,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06065500,2011-07-01,NA,23000,5,11.09,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06065500,2012-06-07,NA,8990,5,6.3,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06065500,2013-02-28,NA,5190,5,4.43,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06065500,2014-05-29,NA,11300,5,7.26,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06065500,2015-06-06,NA,6190,5,4.93,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06065500,2016-05-27,NA,7200,5,5.4,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06065500,2017-06-16,NA,11700,5,7.3,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06065500,2018-06-01,07:30,19500,5,10.17,NA,NA,NA,NA,NA,NA,2018-06-01T07:30:00Z,NA
USGS,06065500,2019-04-28,07:45,11400,5,7.22,NA,NA,NA,NA,NA,NA,2019-04-28T07:45:00Z,NA
USGS,06065500,2020-07-01,14:00,12000,5,7.41,NA,NA,NA,NA,NA,NA,2020-07-01T14:00:00Z,NA
USGS,06065500,2021-02-08,07:00,5140,5,4.46,NA,NA,NA,NA,NA,NA,2021-02-08T07:00:00Z,NA
USGS,06065500,2022-06-17,09:45,9100,5,6.22,NA,NA,NA,NA,NA,NA,2022-06-17T09:45:00Z,NA
USGS,06065500,2023-06-11,19:30,14500,NA,8.46,NA,NA,NA,NA,NA,NA,2023-06-11T19:30:00Z,NA
USGS,06076690,1978-03-22,NA,1930,NA,5.46,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06076690,1979-06-20,NA,1490,NA,5.31,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06076690,1980-05-26,NA,837,NA,4.41,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06076690,1981-05-22,NA,4600,NA,7.8,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06076690,1982-06-18,NA,1250,NA,5.17,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06076690,1983-06-10,NA,703,NA,4.33,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06076690,1984-06-12,NA,520,NA,3.94,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06076690,1985-05-04,NA,254,NA,3.24,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06076690,1986-06-06,NA,864,NA,4.54,2,NA,1986-02-26,NA,6.05,1,NA,NA
USGS,06076690,1987-05-28,NA,231,NA,3.18,2,NA,1986-12-27,NA,3.62,1,NA,NA
USGS,06076690,1988-05-07,NA,161,NA,2.99,2,NA,1988-01-11,NA,3.28,1,NA,NA
USGS,06076690,1989-03-10,NA,1300,NA,5.51,1,NA,NA,NA,NA,NA,NA,NA
USGS,06076690,1990-06-12,NA,365,NA,3.58,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06076690,1991-06-06,NA,717,NA,4.38,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06076690,1992-06-17,NA,322,NA,3.58,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06076690,1993-03-25,NA,662,NA,4.3,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06076690,1994-04-25,NA,703,NA,4.31,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06076690,1995-06-07,NA,468,NA,3.84,2,NA,1995-01-01,NA,4.16,1,NA,NA
USGS,06076690,1996-02-09,NA,2700,2,7.22,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06076690,2007-03-13,NA,551,NA,4.37,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06076690,2008-06-23,NA,464,NA,4.17,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06076690,2009-06-01,NA,487,NA,4.19,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06076690,2010-06-11,NA,1000,NA,5.15,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06076690,2011-06-10,NA,2270,NA,6.7,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06076690,2015-06-01,NA,844,NA,4.72,2,NA,2015-01-25,NA,5.09,1,NA,NA
USGS,06076690,2016-05-22,NA,311,NA,3.65,NA,NA,NA,NA,NA,NA,NA,NA
USGS,06076690,2017-06-13,NA,348,NA,3.76,2,NA,2017-02-11,NA,4.58,NA,NA,NA
USGS,06076690,2018-05-23,23:30,1090,NA,5.25,NA,NA,NA,NA,NA,NA,2018-05-23T23:30:00Z,NA
