us_l4name,status,message,timestamp
Flint Hills,error,No catchment features returned.,2025-06-17T14:51:29Z
Flint Hills,error,No catchment features returned.,2025-06-17T14:54:12Z
Flint Hills,error,No catchment features returned.,2025-06-17T14:55:56Z
Flint Hills,success,NA,2025-06-17T16:06:16Z
Smoky Hills,success,NA,2025-06-17 16:29:42.96688
Rolling Plains and Breaks,success,NA,2025-06-17 16:45:40.431195
Great Bend Sand Prairie,success,NA,2025-06-17 16:47:46.471019
Prairie Tableland,success,NA,2025-06-17 16:52:01.916998
Central Nebraska Loess Plains,success,NA,2025-06-17 16:56:31.636186
Rainwater Basin Plains,success,NA,2025-06-17 17:00:10.431563
Platte River Valley,success,NA,2025-06-17 17:04:07.692414
Red Prairie,success,NA,2025-06-17 17:09:32.612722
Broken Red Plains,success,NA,2025-06-17 17:16:13.500548
Limestone Plains,success,NA,2025-06-17 17:21:02.883705
Wichita Mountains,success,NA,2025-06-17 17:21:36.842171
Pleistocene Sand Dunes,success,NA,2025-06-17 17:23:12.784751
Red River Tablelands,success,NA,2025-06-17 17:23:57.134553
Gypsum Hills,success,NA,2025-06-17 17:25:11.49774
Cross Timbers Transition,success,NA,2025-06-17 17:30:41.027824
Salt Plains,success,NA,2025-06-17 17:31:03.734655
Rolling Red Hills,success,NA,2025-06-17 17:33:07.400216
Limestone Hills,success,NA,2025-06-17 17:33:32.298204
Smoky Hills,success,NA,2025-06-17 17:40:11.63208
Rolling Plains and Breaks,success,NA,2025-06-17 17:40:43.235285
Great Bend Sand Prairie,success,NA,2025-06-17 17:40:55.890955
Prairie Tableland,success,NA,2025-06-17 17:41:19.677572
Central Nebraska Loess Plains,success,NA,2025-06-17 17:41:43.070403
Rainwater Basin Plains,success,NA,2025-06-17 17:42:05.808189
Platte River Valley,success,NA,2025-06-17 17:42:28.325287
Red Prairie,success,NA,2025-06-17 17:43:03.571242
Broken Red Plains,success,NA,2025-06-17 17:43:43.517629
Limestone Plains,success,NA,2025-06-17 17:44:16.796064
Wichita Mountains,success,NA,2025-06-17 17:44:23.109959
Pleistocene Sand Dunes,success,NA,2025-06-17 17:44:34.791967
Red River Tablelands,success,NA,2025-06-17 17:44:42.229933
Gypsum Hills,success,NA,2025-06-17 17:44:52.746943
Cross Timbers Transition,success,NA,2025-06-17 17:45:24.4451
Salt Plains,success,NA,2025-06-17 17:45:29.865886
Rolling Red Hills,success,NA,2025-06-17 17:45:43.530489
Limestone Hills,success,NA,2025-06-17 17:45:49.171885
Loess Flats and Till Plains,success,NA,2025-06-17 17:55:41.159988
Osage Cuestas,success,NA,2025-06-17 18:03:11.901143
Wooded Osage Plains,success,NA,2025-06-17 18:08:20.335093
Cherokee Plains,success,NA,2025-06-17 18:12:43.482918
