file_type,folder,file,possible_duplicate,data_type,remove_reason
tif,koppen-climate,1901_1930/koppen-geiger_0p00833333.tif,TRUE,raster,outside_target_period
tif,koppen-climate,1901_1930/koppen-geiger_0p1.tif,TRUE,raster,outside_target_period
tif,koppen-climate,1901_1930/koppen-geiger_0p5.tif,TRUE,raster,outside_target_period
tif,koppen-climate,1901_1930/koppen-geiger_1p0.tif,TRUE,raster,outside_target_period
tif,koppen-climate,1931_1960/koppen-geiger_0p00833333.tif,TRUE,raster,outside_target_period
tif,koppen-climate,1931_1960/koppen-geiger_0p1.tif,TRUE,raster,outside_target_period
tif,koppen-climate,1931_1960/koppen-geiger_0p5.tif,TRUE,raster,outside_target_period
tif,koppen-climate,1931_1960/koppen-geiger_1p0.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2041_2070/ssp119/koppen-geiger_0p00833333.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2041_2070/ssp119/koppen-geiger_0p1.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2041_2070/ssp119/koppen-geiger_0p5.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2041_2070/ssp119/koppen-geiger_1p0.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2041_2070/ssp126/koppen-geiger_0p00833333.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2041_2070/ssp126/koppen-geiger_0p1.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2041_2070/ssp126/koppen-geiger_0p5.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2041_2070/ssp126/koppen-geiger_1p0.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2041_2070/ssp245/koppen-geiger_0p00833333.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2041_2070/ssp245/koppen-geiger_0p1.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2041_2070/ssp245/koppen-geiger_0p5.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2041_2070/ssp245/koppen-geiger_1p0.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2041_2070/ssp370/koppen-geiger_0p00833333.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2041_2070/ssp370/koppen-geiger_0p1.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2041_2070/ssp370/koppen-geiger_0p5.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2041_2070/ssp370/koppen-geiger_1p0.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2041_2070/ssp434/koppen-geiger_0p00833333.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2041_2070/ssp434/koppen-geiger_0p1.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2041_2070/ssp434/koppen-geiger_0p5.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2041_2070/ssp434/koppen-geiger_1p0.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2041_2070/ssp460/koppen-geiger_0p00833333.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2041_2070/ssp460/koppen-geiger_0p1.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2041_2070/ssp460/koppen-geiger_0p5.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2041_2070/ssp460/koppen-geiger_1p0.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2041_2070/ssp585/koppen-geiger_0p00833333.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2041_2070/ssp585/koppen-geiger_0p1.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2041_2070/ssp585/koppen-geiger_0p5.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2041_2070/ssp585/koppen-geiger_1p0.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2071_2099/ssp119/koppen-geiger_0p00833333.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2071_2099/ssp119/koppen-geiger_0p1.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2071_2099/ssp119/koppen-geiger_0p5.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2071_2099/ssp119/koppen-geiger_1p0.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2071_2099/ssp126/koppen-geiger_0p00833333.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2071_2099/ssp126/koppen-geiger_0p1.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2071_2099/ssp126/koppen-geiger_0p5.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2071_2099/ssp126/koppen-geiger_1p0.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2071_2099/ssp245/koppen-geiger_0p00833333.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2071_2099/ssp245/koppen-geiger_0p1.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2071_2099/ssp245/koppen-geiger_0p5.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2071_2099/ssp245/koppen-geiger_1p0.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2071_2099/ssp370/koppen-geiger_0p00833333.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2071_2099/ssp370/koppen-geiger_0p1.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2071_2099/ssp370/koppen-geiger_0p5.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2071_2099/ssp370/koppen-geiger_1p0.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2071_2099/ssp434/koppen-geiger_0p00833333.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2071_2099/ssp434/koppen-geiger_0p1.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2071_2099/ssp434/koppen-geiger_0p5.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2071_2099/ssp434/koppen-geiger_1p0.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2071_2099/ssp460/koppen-geiger_0p00833333.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2071_2099/ssp460/koppen-geiger_0p1.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2071_2099/ssp460/koppen-geiger_0p5.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2071_2099/ssp460/koppen-geiger_1p0.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2071_2099/ssp585/koppen-geiger_0p00833333.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2071_2099/ssp585/koppen-geiger_0p1.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2071_2099/ssp585/koppen-geiger_0p5.tif,TRUE,raster,outside_target_period
tif,koppen-climate,2071_2099/ssp585/koppen-geiger_1p0.tif,TRUE,raster,outside_target_period
