raw_files,short-name-SUGGESTED,source,element,time-period,dataset,mon-day,file-type,notes
PRISM_ppt_30yr_normal_800mM4_01_bil,prism_ppt_m1,PRISM,ppt,30yr-normal,800mM4,1,bil,M4 released in Dec 2022
PRISM_ppt_30yr_normal_800mM4_02_bil,prism_ppt_m2,PRISM,ppt,30yr-normal,800mM4,2,bil,M4 released in Dec 2022
PRISM_ppt_30yr_normal_800mM4_03_bil,prism_ppt_m3,PRISM,ppt,30yr-normal,800mM4,3,bil,M4 released in Dec 2022
PRISM_ppt_30yr_normal_800mM4_04_bil,prism_ppt_m4,PRISM,ppt,30yr-normal,800mM4,4,bil,M4 released in Dec 2022
PRISM_ppt_30yr_normal_800mM4_05_bil,prism_ppt_m5,PRISM,ppt,30yr-normal,800mM4,5,bil,M4 released in Dec 2022
PRISM_ppt_30yr_normal_800mM4_06_bil,prism_ppt_m6,PRISM,ppt,30yr-normal,800mM4,6,bil,M4 released in Dec 2022
PRISM_ppt_30yr_normal_800mM4_07_bil,prism_ppt_m7,PRISM,ppt,30yr-normal,800mM4,7,bil,M4 released in Dec 2022
PRISM_ppt_30yr_normal_800mM4_08_bil,prism_ppt_m8,PRISM,ppt,30yr-normal,800mM4,8,bil,M4 released in Dec 2022
PRISM_ppt_30yr_normal_800mM4_09_bil,prism_ppt_m9,PRISM,ppt,30yr-normal,800mM4,9,bil,M4 released in Dec 2022
PRISM_ppt_30yr_normal_800mM4_10_bil,prism_ppt_m10,PRISM,ppt,30yr-normal,800mM4,10,bil,M4 released in Dec 2022
PRISM_ppt_30yr_normal_800mM4_11_bil,prism_ppt_m11,PRISM,ppt,30yr-normal,800mM4,11,bil,M4 released in Dec 2022
PRISM_ppt_30yr_normal_800mM4_12_bil,prism_ppt_m12,PRISM,ppt,30yr-normal,800mM4,12,bil,M4 released in Dec 2022
PRISM_ppt_30yr_normal_800mM4_annual_bil,prism_ppt_ann,PRISM,ppt,30yr-normal,800mM4,annual,bil,M4 released in Dec 2022
PRISM_tmax_30yr_normal_800mM5_annual_bil,prism_tmax_ann,PRISM,tmax,30yr-normal,800mM5,annual,bil,M5 released in Jan 2024
PRISM_tmean_30yr_normal_800mM5_annual_bil,prism_tmean_ann,PRISM,tmean,30yr-normal,800mM5,annual,bil,M5 released in Jan 2024
PRISM_tmin_30yr_normal_800mM5_annual_bil,prism_tmin_ann,PRISM,tmin,30yr-normal,800mM5,annual,bil,M5 released in Jan 2024
PRISM_ppt_30yr_normal_800mD1_0101_bil,,PRISM,ppt,30yr-normal,800mD1,101,bil,
PRISM_tmax_30yr_normal_800mD1_0101_bil,,PRISM,tmax,30yr-normal,800mD1,101,bil,
PRISM_tmin_30yr_normal_800mD1_0101_bil,,PRISM,tmin,30yr-normal,800mD1,101,bil,
PRISM_ppt_30yr_normal_800mD1_0102_bil,,PRISM,ppt,30yr-normal,800mD1,102,bil,
PRISM_tmax_30yr_normal_800mD1_0102_bil,,PRISM,tmax,30yr-normal,800mD1,102,bil,
PRISM_tmin_30yr_normal_800mD1_0102_bil,,PRISM,tmin,30yr-normal,800mD1,102,bil,
PRISM_ppt_30yr_normal_800mD1_0103_bil,,PRISM,ppt,30yr-normal,800mD1,103,bil,
PRISM_tmax_30yr_normal_800mD1_0103_bil,,PRISM,tmax,30yr-normal,800mD1,103,bil,
PRISM_tmin_30yr_normal_800mD1_0103_bil,,PRISM,tmin,30yr-normal,800mD1,103,bil,
PRISM_ppt_30yr_normal_800mD1_0104_bil,,PRISM,ppt,30yr-normal,800mD1,104,bil,
PRISM_tmax_30yr_normal_800mD1_0104_bil,,PRISM,tmax,30yr-normal,800mD1,104,bil,
PRISM_tmin_30yr_normal_800mD1_0104_bil,,PRISM,tmin,30yr-normal,800mD1,104,bil,
PRISM_ppt_30yr_normal_800mD1_0105_bil,,PRISM,ppt,30yr-normal,800mD1,105,bil,
PRISM_tmax_30yr_normal_800mD1_0105_bil,,PRISM,tmax,30yr-normal,800mD1,105,bil,
PRISM_tmin_30yr_normal_800mD1_0105_bil,,PRISM,tmin,30yr-normal,800mD1,105,bil,
PRISM_ppt_30yr_normal_800mD1_0106_bil,,PRISM,ppt,30yr-normal,800mD1,106,bil,
PRISM_tmax_30yr_normal_800mD1_0106_bil,,PRISM,tmax,30yr-normal,800mD1,106,bil,
PRISM_tmin_30yr_normal_800mD1_0106_bil,,PRISM,tmin,30yr-normal,800mD1,106,bil,
PRISM_ppt_30yr_normal_800mD1_0107_bil,,PRISM,ppt,30yr-normal,800mD1,107,bil,
PRISM_tmax_30yr_normal_800mD1_0107_bil,,PRISM,tmax,30yr-normal,800mD1,107,bil,
PRISM_tmin_30yr_normal_800mD1_0107_bil,,PRISM,tmin,30yr-normal,800mD1,107,bil,
PRISM_ppt_30yr_normal_800mD1_0108_bil,,PRISM,ppt,30yr-normal,800mD1,108,bil,
PRISM_tmax_30yr_normal_800mD1_0108_bil,,PRISM,tmax,30yr-normal,800mD1,108,bil,
PRISM_tmin_30yr_normal_800mD1_0108_bil,,PRISM,tmin,30yr-normal,800mD1,108,bil,
PRISM_ppt_30yr_normal_800mD1_0109_bil,,PRISM,ppt,30yr-normal,800mD1,109,bil,
PRISM_tmax_30yr_normal_800mD1_0109_bil,,PRISM,tmax,30yr-normal,800mD1,109,bil,
PRISM_tmin_30yr_normal_800mD1_0109_bil,,PRISM,tmin,30yr-normal,800mD1,109,bil,
PRISM_ppt_30yr_normal_800mD1_0110_bil,,PRISM,ppt,30yr-normal,800mD1,110,bil,
PRISM_tmax_30yr_normal_800mD1_0110_bil,,PRISM,tmax,30yr-normal,800mD1,110,bil,
PRISM_tmin_30yr_normal_800mD1_0110_bil,,PRISM,tmin,30yr-normal,800mD1,110,bil,
PRISM_ppt_30yr_normal_800mD1_0111_bil,,PRISM,ppt,30yr-normal,800mD1,111,bil,
