folder,core_file,missing_files,is_valid
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0101_bil,PRISM_ppt_30yr_normal_800mD1_0101_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0102_bil,PRISM_ppt_30yr_normal_800mD1_0102_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0103_bil,PRISM_ppt_30yr_normal_800mD1_0103_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0104_bil,PRISM_ppt_30yr_normal_800mD1_0104_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0105_bil,PRISM_ppt_30yr_normal_800mD1_0105_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0106_bil,PRISM_ppt_30yr_normal_800mD1_0106_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0107_bil,PRISM_ppt_30yr_normal_800mD1_0107_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0108_bil,PRISM_ppt_30yr_normal_800mD1_0108_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0109_bil,PRISM_ppt_30yr_normal_800mD1_0109_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0110_bil,PRISM_ppt_30yr_normal_800mD1_0110_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0111_bil,PRISM_ppt_30yr_normal_800mD1_0111_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0112_bil,PRISM_ppt_30yr_normal_800mD1_0112_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0113_bil,PRISM_ppt_30yr_normal_800mD1_0113_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0114_bil,PRISM_ppt_30yr_normal_800mD1_0114_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0115_bil,PRISM_ppt_30yr_normal_800mD1_0115_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0116_bil,PRISM_ppt_30yr_normal_800mD1_0116_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0117_bil,PRISM_ppt_30yr_normal_800mD1_0117_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0118_bil,PRISM_ppt_30yr_normal_800mD1_0118_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0119_bil,PRISM_ppt_30yr_normal_800mD1_0119_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0120_bil,PRISM_ppt_30yr_normal_800mD1_0120_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0121_bil,PRISM_ppt_30yr_normal_800mD1_0121_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0122_bil,PRISM_ppt_30yr_normal_800mD1_0122_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0123_bil,PRISM_ppt_30yr_normal_800mD1_0123_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0124_bil,PRISM_ppt_30yr_normal_800mD1_0124_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0125_bil,PRISM_ppt_30yr_normal_800mD1_0125_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0126_bil,PRISM_ppt_30yr_normal_800mD1_0126_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0127_bil,PRISM_ppt_30yr_normal_800mD1_0127_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0128_bil,PRISM_ppt_30yr_normal_800mD1_0128_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0129_bil,PRISM_ppt_30yr_normal_800mD1_0129_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0130_bil,PRISM_ppt_30yr_normal_800mD1_0130_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0131_bil,PRISM_ppt_30yr_normal_800mD1_0131_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0201_bil,PRISM_ppt_30yr_normal_800mD1_0201_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0202_bil,PRISM_ppt_30yr_normal_800mD1_0202_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0203_bil,PRISM_ppt_30yr_normal_800mD1_0203_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0204_bil,PRISM_ppt_30yr_normal_800mD1_0204_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0205_bil,PRISM_ppt_30yr_normal_800mD1_0205_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0206_bil,PRISM_ppt_30yr_normal_800mD1_0206_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0207_bil,PRISM_ppt_30yr_normal_800mD1_0207_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0208_bil,PRISM_ppt_30yr_normal_800mD1_0208_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0209_bil,PRISM_ppt_30yr_normal_800mD1_0209_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0210_bil,PRISM_ppt_30yr_normal_800mD1_0210_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0211_bil,PRISM_ppt_30yr_normal_800mD1_0211_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0212_bil,PRISM_ppt_30yr_normal_800mD1_0212_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0213_bil,PRISM_ppt_30yr_normal_800mD1_0213_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0214_bil,PRISM_ppt_30yr_normal_800mD1_0214_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0215_bil,PRISM_ppt_30yr_normal_800mD1_0215_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0216_bil,PRISM_ppt_30yr_normal_800mD1_0216_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0217_bil,PRISM_ppt_30yr_normal_800mD1_0217_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0218_bil,PRISM_ppt_30yr_normal_800mD1_0218_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0219_bil,PRISM_ppt_30yr_normal_800mD1_0219_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0220_bil,PRISM_ppt_30yr_normal_800mD1_0220_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0221_bil,PRISM_ppt_30yr_normal_800mD1_0221_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0222_bil,PRISM_ppt_30yr_normal_800mD1_0222_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0223_bil,PRISM_ppt_30yr_normal_800mD1_0223_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0224_bil,PRISM_ppt_30yr_normal_800mD1_0224_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0225_bil,PRISM_ppt_30yr_normal_800mD1_0225_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0226_bil,PRISM_ppt_30yr_normal_800mD1_0226_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0227_bil,PRISM_ppt_30yr_normal_800mD1_0227_bil,,TRUE
data/raw/prism/PRISM_ppt_30yr_normal_800mD1_0228_bil,PRISM_ppt_30yr_normal_800mD1_0228_bil,,TRUE
