data_type,folder,file_type.raw,n.raw,file_type.processed,n.processed
vector,archives,zip,8,NA,NA
vector,ecoregions,shp,7,gpkg,1
raster,koppen_climate,tif,4,tif,1
raster,modis,hdf,288,tif,25
vector,nhdplus,gpkg,2,gpkg,3
raster,nlcd,tif,3,tif,1
vector,peakflow_gages,csv,7,csv,2
vector,peakflow_gages,gpkg,1,csv,2
raster,phzm,bil,1,tif,1
raster,phzm,hdr,1,tif,1
raster,phzm,stx,1,tif,1
raster,prism,bil,1114,tif,1101
raster,prism,hdr,1114,tif,1101
raster,prism,stx,1114,tif,1101
vector,prism,csv,12,NA,NA
vector,statsgo2,csv,1,csv,2
vector,statsgo2,csv,1,gpkg,1
vector,modis,NA,NA,csv,1
raster,ned,NA,NA,tif,2
