attr_name,description,source,domain
FID,Internal feature number.,ESRI,Sequential unique whole numbers that are automatically generated.
Shape,Feature geometry.,ESRI,Coordinates defining the features.
NA_L2CODE,NA,NA,NA
NA_L2NAME,NA,NA,NA
NA_L1CODE,Code for Level I Ecoregion (North America),CEC,NA
NA_L1NAME,Name for Level I Ecoregion (North America),CEC,NA
NA_L2KEY,NA,NA,NA
NA_L1KEY,NA,NA,NA
Shape_Leng,NA,NA,NA
Shape_Area,Area of feature in internal units squared.,ESRI,Positive real numbers that are automatically generated.
