site_no,n_years_blended,n_years_core,dropped_in_core
05064000,79,0,TRUE
05067500,79,0,TRUE
05083600,30,0,TRUE
05084000,83,0,TRUE
05085000,79,0,TRUE
05120200,21,0,TRUE
05120500,66,0,TRUE
05316580,22,1,TRUE
05331580,26,0,TRUE
06066500,70,8,TRUE
06074000,23,14,TRUE
06078200,64,0,TRUE
06080900,21,0,TRUE
06082200,21,0,TRUE
06090300,69,0,TRUE
06095000,28,4,TRUE
06101500,56,2,TRUE
06102050,35,1,TRUE
06109500,87,18,TRUE
06111500,22,8,TRUE
06115000,33,19,TRUE
06119600,21,0,TRUE
06123500,32,0,TRUE
06126050,20,0,TRUE
06126500,77,0,TRUE
06127500,78,0,TRUE
06127900,45,0,TRUE
06132000,78,5,TRUE
06174000,35,0,TRUE
06174500,81,0,TRUE
06177000,88,8,TRUE
06185500,71,0,TRUE
06212500,62,0,TRUE
06289820,38,1,TRUE
06294500,39,0,TRUE
06298500,23,0,TRUE
06307500,84,0,TRUE
06307616,44,0,TRUE
06307830,29,1,TRUE
06308500,82,0,TRUE
06313500,44,0,TRUE
06317000,103,1,TRUE
06324970,48,0,TRUE
06340000,79,2,TRUE
06386500,43,0,TRUE
06394000,54,0,TRUE
06395000,80,1,TRUE
06400000,74,1,TRUE
06400500,36,0,TRUE
06402500,78,0,TRUE
06406500,36,0,TRUE
06408500,50,0,TRUE
06425100,40,0,TRUE
06425500,71,0,TRUE
06426500,70,5,TRUE
06433000,68,0,TRUE
06433500,43,0,TRUE
06436760,31,0,TRUE
06449100,62,0,TRUE
06449400,21,0,TRUE
06449500,81,0,TRUE
06450500,76,3,TRUE
06454000,37,14,TRUE
06454100,35,0,TRUE
06454500,48,0,TRUE
06471500,79,9,TRUE
06471800,24,0,TRUE
06474500,27,0,TRUE
06478600,29,0,TRUE
06479000,77,12,TRUE
06479010,41,1,TRUE
06479500,52,0,TRUE
06479520,30,0,TRUE
06479525,48,0,TRUE
06646500,40,7,TRUE
06646600,32,0,TRUE
06653500,55,5,TRUE
06677500,66,0,TRUE
06679000,31,0,TRUE
06687000,61,0,TRUE
06692000,58,0,TRUE
06710000,32,0,TRUE
06711500,79,0,TRUE
06714000,76,6,TRUE
06720000,57,0,TRUE
06725450,35,0,TRUE
06730500,71,1,TRUE
06731000,73,0,TRUE
06755960,25,8,TRUE
06762500,74,0,TRUE
06763500,27,0,TRUE
06768500,21,0,TRUE
06769000,38,0,TRUE
06779000,53,0,TRUE
06785000,95,13,TRUE
06786000,84,1,TRUE
06788500,45,1,TRUE
06789000,33,1,TRUE
06790500,97,12,TRUE
06818000,100,17,TRUE
06821150,53,11,TRUE
06821500,91,0,TRUE
06823000,86,0,TRUE
06824500,63,7,TRUE
06827500,24,19,TRUE
06830000,20,1,TRUE
06831000,21,0,TRUE
06831500,53,0,TRUE
06833500,21,0,TRUE
06835500,20,1,TRUE
06893000,94,10,TRUE
06895500,92,8,TRUE
06906300,41,12,TRUE
06906500,22,0,TRUE
07099060,31,0,TRUE
07099970,36,0,TRUE
07103700,66,3,TRUE
07103970,28,0,TRUE
07103990,39,0,TRUE
07104000,59,10,TRUE
07104905,22,0,TRUE
07105500,49,0,TRUE
07105530,35,0,TRUE
07105940,23,0,TRUE
07106300,52,0,TRUE
07106500,84,2,TRUE
07108900,46,0,TRUE
07126140,24,3,TRUE
07126485,40,0,TRUE
07128000,23,0,TRUE
07134990,26,0,TRUE
07139000,23,0,TRUE
07151000,78,6,TRUE
07154500,72,19,TRUE
07156900,54,0,TRUE
07157950,51,14,TRUE
07159100,46,13,TRUE
07159750,28,0,TRUE
07160350,24,0,TRUE
07161450,33,0,TRUE
07164600,32,0,TRUE
07165562,31,0,TRUE
07165565,35,0,TRUE
07165570,48,0,TRUE
07171000,38,9,TRUE
07174400,36,0,TRUE
07175500,37,8,TRUE
07176000,22,11,TRUE
07177650,31,0,TRUE
07177800,28,0,TRUE
07178000,38,7,TRUE
07178200,32,0,TRUE
07185000,72,19,TRUE
07185095,26,3,TRUE
07194500,31,14,TRUE
07211000,73,0,TRUE
07218000,90,3,TRUE
07221000,75,0,TRUE
07221500,84,3,TRUE
07228000,22,1,TRUE
07228500,31,0,TRUE
07229300,34,19,TRUE
07231000,30,19,TRUE
07232900,20,0,TRUE
07234100,26,13,TRUE
07237500,42,4,TRUE
07238000,35,0,TRUE
07239300,36,0,TRUE
07239500,47,13,TRUE
07241800,23,0,TRUE
07242000,76,10,TRUE
07297910,54,0,TRUE
07301110,39,5,TRUE
07301300,55,8,TRUE
07301420,37,1,TRUE
07303400,44,17,TRUE
07304500,37,14,TRUE
07305000,39,8,TRUE
07305500,22,0,TRUE
07308500,56,12,TRUE
07311200,35,0,TRUE
07316000,78,8,TRUE
07325800,49,0,TRUE
07326500,60,8,TRUE
07327442,27,0,TRUE
07327447,28,0,TRUE
07327490,21,10,TRUE
07327550,29,0,TRUE
07328070,21,1,TRUE
07328180,29,0,TRUE
07328500,39,17,TRUE
07329000,22,12,TRUE
07329500,23,5,TRUE
07329700,22,0,TRUE
07329852,31,0,TRUE
07382500,67,5,TRUE
08042000,26,9,TRUE
08042500,22,6,TRUE
08047050,21,0,TRUE
08050400,31,0,TRUE
08051500,26,11,TRUE
08055500,29,5,TRUE
08077000,40,11,TRUE
08078000,62,12,TRUE
08079000,22,12,TRUE
08083240,25,0,TRUE
08086290,54,0,TRUE
08088000,20,13,TRUE
08095000,37,0,TRUE
08096500,34,0,TRUE
08116400,29,12,TRUE
08117500,57,6,TRUE
08129300,52,0,TRUE
08144600,26,13,TRUE
08157000,20,4,TRUE
08157500,24,6,TRUE
08158000,32,1,TRUE
08164500,37,19,TRUE
08194000,20,19,TRUE
08197500,56,11,TRUE
08206700,54,4,TRUE
08382000,27,0,TRUE
08382500,67,1,TRUE
08382600,46,18,TRUE
08382650,46,18,TRUE
393109104464500,32,0,TRUE
