site_no,n_years
05047500,12
05048000,12
05048500,12
05049000,72
05050000,4
05051000,9
05051300,1
05051600,61
05051650,36
05051700,1
05052000,14
05052075,1
05052100,8
05052500,59
05053000,26
05053500,1
05054000,40
05054500,69
05055000,11
05055100,9
05055200,15
05055300,20
05055400,17
05055500,15
05055520,9
05056000,73
05056200,68
05056215,36
05056225,5
05056239,44
05056244,2
05056270,5
05056300,12
05056340,27
05056390,20
05056403,4
05056636,8
05056770,2
05057000,78
05057200,68
05058000,1
05058500,13
05058600,3
05058810,1
05058850,4
05059500,25
05059600,59
05059700,67
05060000,24
05060100,27
05060500,77
05060510,8
05060550,10
05060570,8
05061000,80
05061200,64
05061500,79
05062000,94
05062200,16
05062500,101
05063000,6
05063398,20
05063500,19
05064000,79
05064500,2
05064900,22
05065500,58
05066500,92
05067500,79
05069000,81
05076000,111
05076500,21
05077850,1
05078000,86
05078230,63
05078500,98
05079000,122
05080000,23
05082500,59
05082625,1
05083000,37
05083500,2
05083600,30
05084000,83
05084500,13
05085000,79
05085420,4
05085450,16
05085900,4
05117500,32
05119410,42
05120200,21
05120500,66
05278500,20
05278930,39
05289985,35
05290000,70
05291000,97
05292500,2
05292704,34
05293000,83
05294000,89
05299650,3
05299700,11
05299750,36
05299800,3
05300000,96
05301000,4
05304000,5
05304500,85
05305000,15
05311000,33
05311150,9
05311400,55
05313500,93
05313780,26
05314510,3
05315000,84
05315200,26
05316500,98
0531656290,1
05316570,51
05316580,22
05316770,17
05316900,24
05317000,95
05317200,44
05317500,14
05318000,34
05319500,56
05320000,3
05320270,15
05320480,49
05320500,78
05325000,120
05326189,2
05331580,26
05342000,26
05344490,15
05344500,95
05345000,52
05346000,1
05353800,51
05355038,11
05355080,5
05369900,7
05369945,14
05370000,44
05411700,29
05412340,5
05416900,22
05417000,50
05417700,19
05418110,3
05418400,25
05418450,16
05418500,107
05420560,33
05420640,31
05420680,28
05421000,89
05421500,11
05421550,29
05421682,6
05421740,22
05421760,8
05422000,86
05422420,4
05422450,5
05422470,29
05422560,21
05422600,28
05448150,7
05448500,10
05449000,45
05449500,80
05450400,4
05451080,18
05451200,7
05451210,27
05451250,7
05451350,7
05451450,7
05451500,106
05451700,73
05451770,12
05451800,6
05451900,73
05452000,78
05452200,72
05452500,30
05453000,75
05453100,68
05453520,7
05454000,83
05454090,16
05454220,28
05454300,69
05454500,60
05455000,54
05455010,17
05455100,65
05455200,29
05455500,80
05455700,10
05457000,83
05457500,11
05457505,6
05457700,68
05458000,70
05458300,24
05458500,101
05458560,16
05458900,76
05459000,40
05459500,89
05460400,6
05460500,23
05461390,4
05462000,69
05463000,78
05463050,12
05463500,65
05464000,83
05464130,14
05464133,14
05464137,17
05464220,25
05464315,15
05464420,15
05464475,5
05464500,119
05464640,16
05464695,7
05464730,8
05464780,11
0546494170,7
05464942,18
05470000,97
05470500,66
05471000,60
05471040,10
05471050,37
05471200,54
05471500,77
05472500,75
05473000,36
05473065,7
05473300,21
05473400,43
05473450,26
05473500,22
05474000,106
05475350,4
05476000,98
05476500,42
05476590,13
05476750,83
05478000,22
05478265,14
05479000,79
05480000,41
05480500,92
05480603,2
05480820,13
05480986,1
05481000,84
05481300,55
05481500,61
05481650,21
05481950,62
05482000,53
05482135,13
05482170,30
05482300,65
05482500,81
05483000,39
05483343,3
05483450,44
05483600,14
05484000,83
05484500,107
