site_no,n,skew,dec_lat_va,dec_long_va
05049000,75,-0.8197291773759305,45.82087626,-96.4902245
05051600,61,-0.882334784598409,46.0221855,-97.511485
05051650,36,-1.2208560959080823,45.8925147,-97.3619276
05052000,21,-0.3211885926211922,46.17245926,-97.0106403
05052500,59,-0.9956895566330038,46.31134769,-96.7345217
05053000,27,-1.1137455013498505,46.4705168,-96.7823018
05054000,43,0.14638900980482464,46.861075,-96.7836924
05054500,69,-0.09241629201579689,47.7027775,-99.9490145
05055300,20,-0.23406610068784484,47.90777778,-99.4155556
05056000,73,-0.5737819490522427,47.8055534,-98.7162172
05056200,69,-1.5880102761361143,48.33667157,-98.6603958
05056215,36,-1.8460414315178788,48.2663928,-98.6809499
05056239,44,-0.7865454327644977,48.3205591,-98.9406851
05056340,27,-1.7194419258609586,48.2433322,-99.3729125
05057000,78,-0.5352524612228388,47.43277097,-98.0275954
05057200,69,-0.3167632521203394,47.2291562,-98.1248189
05059500,28,-0.05398357301858453,46.8910784,-96.9070286
05059600,59,-1.7095095663496347,47.32498855,-97.7906537
05059700,68,-0.7069093761223528,46.6216388,-97.5739851
05060000,27,-0.7775812504673137,46.8660826,-97.106477
05060100,29,-0.29712105524482396,46.9052487,-97.052587
05060500,77,-0.5250725022865929,47.0166413,-97.214254
05061000,81,-0.4388660109860338,46.851975,-96.32912
05061200,64,-0.08430855499159452,46.659857,-96.398873
05061500,80,-0.21744724896468268,46.77566,-96.627747
05062000,94,-0.41731553852302544,46.963238,-96.661716
05062200,23,-1.7929062111086815,47.29164638,-97.114253
05062500,102,-0.25485163756429474,47.26555556,-96.2475
05063398,20,-0.7076365959490293,47.113291,-96.386064
05064900,26,-0.9684192854480881,47.5947222,-97.7091667
05065500,58,-0.4833100913373803,47.5377646,-97.453424
05066500,97,-0.7766688319885815,47.40942385,-97.0611974
05069000,81,-0.5309710518968941,47.61191807,-96.8147998
05076000,113,-1.604444338047073,48.186179,-96.169948
05076500,21,-0.564678738672216,48.11107957,-96.1808698
05078000,86,-0.17098328182196634,47.923479,-96.046235
05078230,64,-0.6593239036455038,47.843794,-95.85835
05078500,99,-0.280026654169566,47.88620556,-96.2765806
05079000,123,-0.5281180236078493,47.7753946,-96.6100767
05080000,24,-0.49001963786545605,47.8006388,-96.8095627
05082500,61,-0.08217817590277735,47.9269234,-97.0292435
05083000,38,0.28465903194133674,48.078595,-97.1845207
05117500,36,-1.063955497105711,48.2457899,-101.371361
05119410,44,-0.5231233918208825,48.058342,-100.9504287
05278500,20,-0.41242663224042947,44.93551759,-94.6752713
05278930,40,-0.6100395342084058,44.763621,-94.091211
05289985,36,-0.8818081079157367,45.4874332,-96.9584379
05290000,69,-0.4481199237325253,45.6159585,-96.875549
05291000,96,-0.5433264826867936,45.2833888,-96.5103877
05292704,34,-1.033661871213193,45.18913155,-96.415332
05293000,83,-0.6788480525495761,45.22619686,-96.348488
05294000,90,-0.08758005485731346,45.2034288,-96.0195791
05299750,36,-0.15567770528291117,44.736184,-96.419142
05300000,96,-0.16194597746868658,44.995275,-95.919633
05304500,86,-0.27200992278563135,45.1085449,-95.79877
05311000,32,-0.464041343087041,44.932716,-95.733632
05311400,55,-0.31144828117163326,44.563543,-95.996204
05313500,92,-0.6748634452212791,44.71533,-95.543937
05313780,26,-0.9769147840376786,44.86968,-95.4833518
05315000,84,-0.5310885367982775,44.430156,-95.82945
05315200,27,-0.7941401257730205,44.4955143,-95.7969666
05316500,98,-0.5189958432653567,44.523579,-95.171378
05316570,51,-0.09457328920629521,44.583938,-95.047504
05316900,25,-0.13351098306952838,44.122457,-95.2038833
05317000,97,-0.5290182421080891,44.289217,-94.439427
05317200,47,0.1968249067713428,44.24661827,-94.3390394
