site_no,dec_lat_va,dec_long_va,ordinal_num,type
08458975,27.57568333,-99.5060389,1,all sites
08459000,27.50183333,-99.5029667,1,all sites
08458995,27.5360972,-99.5001833,1,all sites
08459200,27.4005766,-99.4886529,1,all sites
08461300,26.5572768,-99.1683666,1,all sites
08194200,27.96501329,-98.9669678,1,all sites
08464700,26.3683991,-98.8058599,1,all sites
08194500,28.30888906,-98.5572384,1,all sites
08469200,26.13368678,-98.3350149,1,all sites
08212400,27.26448618,-98.1358378,1,all sites
08210300,28.1419536,-98.1033377,1,all sites
08210400,28.05973533,-98.0969482,1,all sites
08211800,27.76663889,-98.0755556,1,all sites
08211900,27.77252575,-98.033613,1,all sites
08212000,27.72530545,-97.9877787,1,all sites
08470300,26.12952047,-97.9127779,1,all sites
08212300,27.52614624,-97.8674982,1,all sites
08212360,27.4728147,-97.8669426,1,all sites
08212350,27.48531434,-97.8669426,1,all sites
08211000,28.03834719,-97.8602769,1,all sites
08212020,27.55031206,-97.8411088,1,all sites
08211100,27.9855716,-97.8008314,1,all sites
08470200,26.3145166,-97.776939,1,all sites
08211200,27.93779594,-97.7758308,1,all sites
08212820,27.66525,-97.7022778,1,all sites
08211503,27.8969652,-97.6255509,1,all sites
08211500,27.88307697,-97.625273000000007,1,all sites
08189700,28.28249389,-97.6208513,1,all sites
08189718,28.04569167,-97.525175,1,all sites
08189720,28.0466814,-97.5038832,1,all sites
08189800,28.04695919,-97.5038832,1,all sites
08211520,27.71141879,-97.5019377,1,all sites
08474107,25.91444444,-97.4918889,1,all sites
08474095,25.9216111,-97.4754167,1,all sites
08475000,25.87674793,-97.454426,1,all sites
08474108,25.89402778,-97.4528889,1,all sites
08474110,25.94083333,-97.4256944,1,all sites
08474300,25.9172222,-97.3778333,1,all sites
08189520,28.21693333,-97.3516944,1,all sites
08189400,28.31611629,-97.3399929,1,all sites
08189500,28.29193875,-97.2791751,1,all sites
08189200,28.30360538,-97.1125039,1,all sites
08189100,28.3169496,-97.0069348,1,all sites
08371500,29.6210127,-104.4810367,1,all sites
08373200,29.58073756,-104.3657574,1,all sites
08374000,29.52101847,-104.294923,1,all sites
08431700,30.61348635,-104.0015734,1,all sites
08431800,30.6812655,-103.792124,1,all sites
08432000,30.78348545,-103.7504575,1,all sites
08435700,30.38127097,-103.7360092,1,all sites
08435600,30.3584928,-103.7137877,1,all sites
08435620,30.35182539,-103.6671225,1,all sites
08435660,30.34098889,-103.64325,1,all sites
08374500,29.20020053,-103.604629,1,all sites
08374550,29.13798,-103.5249033,1,all sites
08375000,29.03492826,-103.3921204,1,all sites
08375300,29.1835386,-102.9754409,1,all sites
08376300,30.12851998,-102.3848654,1,all sites
08447000,30.65961373,-101.7701244,1,all sites
08377200,29.78075694,-101.7559523,1,all sites
08447300,30.314,-101.7415556,1,all sites
08447020,30.45075,-101.7319167,1,all sites
08377500,29.80020299,-101.5670584,1,all sites
08447410,29.8029823,-101.4462223,1,all sites
08449000,29.96353604,-101.1453849,1,all sites
08450900,29.42522559,-101.04121,1,all sites
08449100,29.888325,-100.9898028,1,all sites
08455000,29.1460712,-100.7184202,1,all sites
08456310,29.30791667,-100.4192222,1,all sites
08190500,29.48108333,-100.2391667,1,all sites
0818999010,29.71883333,-100.039575,1,all sites
08189998,29.52646667,-100.0183667,1,all sites
08190000,29.42856679,-99.997287,1,all sites
08192700,28.72525557,-99.9739484,1,all sites
08191500,29.19579516,-99.8961713,1,all sites
08192000,29.12385015,-99.8948062,1,all sites
08192500,28.783587,-99.8336668,1,all sites
08148500,30.5174101,-99.806179,1,all sites
08192400,28.9333111,-99.7971694,1,all sites
08196000,29.50467576,-99.7814452,1,all sites
08149900,30.47901389,-99.7780389,1,all sites
08203450,29.34527778,-99.7488889,1,all sites
08204005,29.1544077,-99.7433888,1,all sites
08150000,30.50435487,-99.7345097,1,all sites
08195000,29.48856496,-99.7047756,1,all sites
08196300,29.3736111,-99.7041667,1,all sites
08193000,28.50026313,-99.6819935,1,all sites
08197500,29.2457934,-99.6744978,1,all sites
08194755,29.82900556,-99.6698667,1,all sites
08196500,29.29190325,-99.6586638,1,all sites
08197800,29.41833333,-99.6052778,1,all sites
08204250,28.90583333,-99.5772222,1,all sites
08197936,29.719,-99.5487,1,all sites
08198000,29.4910644,-99.492824100000007,1,all sites
08198500,29.31430556,-99.4804722,1,all sites
08199700,29.08579856,-99.4086554,1,all sites
08202000,29.5505069,-99.406433,1,all sites
08201500,29.573284,-99.4030997,1,all sites
08202450,29.5263409,-99.3953215,1,all sites
08202500,29.48911973,-99.388099,1,all sites
08165300,30.06410028,-99.3870175,1,all sites
08165500,30.06993074,-99.3217122,1,all sites
08202700,29.37078917,-99.2878185,1,all sites
08166000,30.10020707,-99.2831006,1,all sites
0817887350,29.79389167,-99.2485944,1,all sites
08200000,29.57003056,-99.2476889,1,all sites
08204500,28.7930303,-99.2411468,1,all sites
08194000,28.42637889,-99.2400322,1,all sites
08166140,30.06965617,-99.1953454,1,all sites
08200500,29.45162049,-99.185593,1,all sites
08166200,30.053266,-99.163375,1,all sites
08200700,29.39078876,-99.1514252,1,all sites
08205500,28.73664429,-99.1447556,1,all sites
08200720,29.3761111,-99.1166667,1,all sites
08166250,29.98777778,-99.11,1,all sites
08150700,30.66073685,-99.1092185,1,all sites
08200977,29.56777778,-99.0969444,1,all sites
08150800,30.64351548,-99.0958848,1,all sites
08178880,29.72383537,-99.070035,1,all sites
08178980,29.69438889,-98.9793056,1,all sites
08179000,29.67550339,-98.9761429,1,all sites
08179110,29.6732811,-98.9603091,1,all sites
08179100,29.6810586,-98.9555868,1,all sites
08179520,29.5341187,-98.9353075,1,all sites
08180003,29.4431222,-98.9231222,1,all sites
