site_no,LOThresh
05047500,0
05048000,132
05048500,0
05049000,220
05051600,20
05051650,19
05052000,0
05052500,862
05053000,300
05054000,0
05054500,0
05055000,0
05055200,0
05055300,0
05055400,0
05055500,296
05056000,436
05056200,420
05056215,100
05056239,201
05056300,0
05056340,72
05056390,2
05057000,682
05057200,146
05058500,0
05059500,0
05059600,200
05059700,1380
05060000,302
05060100,1480
05060500,250
05060550,90
05061000,382
05061200,0
05061500,0
05062000,163
05062200,53
05062500,0
05063398,478
05063500,250
05064000,540
05064900,150
05065500,0
05066500,564
05067500,601
05069000,1160
05076000,1420
05076500,2020
05078000,0
05078230,1240
05078500,1600
05079000,2900
05080000,0
05082500,0
05083000,0
05083600,22
05084000,321
05084500,0
05085000,0
05085450,497
05117500,130
05119410,115
05120200,100
05120500,0
05278500,86
05278930,1750
05289985,60
05290000,64
05291000,774
05292704,600
05293000,1020
05294000,0
05299700,0
05299750,0
05300000,0
05304500,0
05305000,0
05311000,324
05311400,334
05313500,374
05313780,825
05315000,138
05315200,6.3
05316500,302
05316570,186
05316580,0
05316770,0
05316900,0
05317000,680
05317200,0
05317500,0
05318000,432
05319500,0
05320270,0
05320480,0
05320500,1270
05325000,4850
05331580,0
05342000,0
05344490,0
05344500,0
05345000,0
05353800,1640
05355038,0
05369945,0
05370000,0
05411700,0
05416900,0
05417000,1790
05417700,0
05418400,6820
05418450,4320
05418500,0
05420560,2980
05420640,0
05420680,0
05421000,0
05421500,0
05421550,0
05421740,10900
05422000,0
05422470,0
05422560,1130
05422600,0
05448500,0
05449000,0
05449500,826
05451080,64.5
05451210,767
05451500,0
05451700,1810
05451770,0
05451900,364
05452000,0
05452200,2640
05452500,0
05453000,2870
05453100,0
05454000,1270
05454090,0
05454220,0
05454300,0
05454500,0
05455000,0
05455010,492
05455100,0
05455200,0
05455500,0
05455700,0
05457000,979
05457500,7990
05457700,5000
05458000,0
05458300,0
05458500,0
05458560,0
05458900,4280
05459000,502
05459500,929
05460500,0
05462000,0
05463000,1010
05463050,0
05463500,0
05464000,13300
05464130,0
05464133,0
05464137,0
05464220,0
05464315,0
05464420,18000
05464500,8100
05464640,0
05464780,37700
05464942,0
05470000,1330
05470500,0
05471000,1620
05471040,0
05471050,3100
05471200,0
05471500,3430
05472500,0
05473000,0
05473300,0
05473400,0
05473450,0
05473500,0
05474000,8280
05476000,358
05476500,0
05476590,0
05476750,2070
05478000,0
05478265,0
05479000,0
05480000,0
05480500,4850
05480820,1830
05481000,0
05481300,8700
05481500,2930
05481650,0
05481950,0
05482000,4920
05482135,0
05482170,488
05482300,4060
05482500,5510
05483000,148
05483450,0
05483600,2480
05484000,0
05484500,0
05484650,4700
05484800,0
05484900,5760
05485500,8270
05485605,0
05485640,636
05486000,0
05486490,3950
05487470,0
05487540,0
05487550,0
05487800,0
05487980,3260
05488000,0
05488200,400
05488500,11500
05489000,0
05489500,13800
05490500,0
05491000,0
05494300,3000
05494500,0
05496000,0
05497000,4600
05497150,3590
05497500,3350
05498000,0
05498150,0
05498700,0
05500000,0
05500500,0
05502300,0
05502500,1590
05503000,0
05503100,0
05503500,0
05506000,1650
05506350,0
05506500,0
05506800,0
05507000,2420
06065500,8910
06066500,13300
06073000,317
06073500,0
06074000,0
06074500,0
06075500,0
06076690,0
06077500,0
06078200,13400
06080900,0
06081500,0
06082200,0
06084500,0
06085800,1090
06086000,0
06088300,0
06088500,0
06089000,1450
06090300,11700
06090500,0
06090650,0
06090800,0
06095000,0
06096000,182
06097000,569
06098000,0
06100500,0
06101500,2020
06102000,0
06102050,0
06102500,0
06103000,0
06106000,0
06107000,0
06108000,0
06108800,0
06109500,0
06110000,0
06110020,0
06111000,0
06111500,0
06112100,0
06114500,0
06114700,0
06115000,0
06115200,0
06115300,11
06115500,0
06116000,0
06117000,0
06118500,0
06119600,0
06120500,0
06121000,109
06121500,0
06122000,0
06122800,0
06123030,0
06123500,0
06125600,0
06125700,0
06126050,0
06126470,0
06126500,0
06127500,0
06127900,0
06128200,0
06129000,237
06129500,47
06130500,2720
06130700,205
06130950,800
06131000,500
06131200,108
06132000,0
06137400,0
06137570,0
06154400,0
06154430,10
06154490,0
06164615,0
06164623,0
06164800,0
06172310,0
06174000,468
06174500,4160
06175000,196
06175540,575
06176500,39
06177000,0
06177400,0
06177500,447
06177700,15
06177825,0
06181000,0
06185000,868
06185110,0
06185500,0
06193000,0
06193500,364
06194000,0
06195600,0
06197000,0
06197500,0
06200000,0
06200500,0
06201000,0
06204500,0
06205000,0
06207800,0
06208500,0
06208800,0
06211000,0
06211500,0
06212500,0
06214000,0
06214500,21500
06215000,0
06216000,0
06216500,0
06216900,0
06217000,0
06217700,0
06217750,0
06287000,3210
06287500,0
06287800,0
06288000,0
06288200,0
06288400,0
06288500,19600
06289000,424
06289500,0
06289820,0
06290000,0
06290500,0
06291000,0
06291500,0
06293500,0
06294000,0
06294500,0
06294600,0
06294700,0
06294940,0
06294995,0
06295000,0
06295100,20
06295113,15
06295250,0
06296000,0
06296003,0
06296100,32
06298500,0
06299500,122
06299900,0
06299980,722
06305500,0
06306100,0
06306300,1660
06306500,3640
06306950,0
06307500,973
06307600,137
06307616,1370
06307740,0
06307830,738
06308400,0
06308500,1030
06309000,0
06309075,0
06313000,0
06313180,0
06313400,0
06313500,0
06313590,0
06313700,373
06314500,0
06315500,0
06316500,0
06317000,0
06317020,2.3
06318500,0
06323000,0
06323500,0
06324000,0
06324500,0
06324710,0
06324970,0
06325500,0
06326300,0
06326500,0
06326600,440
06327450,332
06327500,32200
06329200,0
06329500,0
06329597,0
06331000,974
06331500,798
06332515,54.8
06332520,69
06332523,31
06332770,0
06333850,120
06334000,475
06334100,86
06334500,692
06334610,43
06334630,0
06335000,0
06335500,2360
06335750,0
06336000,1610
06336500,220
06336600,570
06337000,3520
06339100,544
06339300,0
06339490,0
06339500,1950
06339560,0
06340000,580
06340010,0
06340200,10
06340500,370
06340528,0
06340905,0
06341400,0
06341410,0
06341800,240
06342050,0
06342100,0
06342450,150
06343000,758
06344500,1420
06344600,579
06345000,838
06345500,0
06347000,0
06347500,0
06348500,566
06349000,1500
06349215,0
06349500,72
06349580,95
06349590,160
06349600,307
06350000,309
06351000,789
06351200,0
06351680,130
06352000,200
06352500,0
06353000,0
06353500,2440
06354000,374
06354480,0
06354500,0
06354580,0
06354815,0
06354860,216
06354882,404
06355000,261
06355310,44
06355500,0
06356000,0
06356500,0
06358000,0
06358500,0
06359000,0
06359500,0
06360000,0
06360500,1160
06361000,0
06365900,30
06375600,43
06376300,0
06386500,530
06394000,180
06395000,0
06400000,0
06400500,0
06400875,5.1
06402500,0
06406000,0
06406500,292
06408500,53
06423500,0
06425100,357
06425500,1200
06425720,0
06426130,18
06426160,43
06426500,0
06433000,0
06433500,0
06436190,0
06436198,0
06436700,0
06436760,0
06436800,0
06437500,174
06439000,94
06439430,0
06440000,0
06440200,0
06441000,544
06441110,270
06441500,578
06442000,0
06442500,151
06442600,0
06442718,451
06442900,261
06442950,0
06444000,0
06445000,0
06445500,0
06445590,0
06445685,0
06445700,0
06445980,0
06446000,166
06446100,9.72
06446500,6900
06446700,0
06447000,0
06447230,666
06447450,0
06447500,0
06448000,80
06449100,0
06449250,23
06449300,0
06449400,0
06449500,0
06450500,0
06452000,0
06452320,0
06453255,70
06453400,272
06453500,423
06453600,593
06454000,0
06454100,0
06454500,0
06455900,0
06459175,0
06459200,0
06459500,0
06460900,0
06462500,0
06463080,340
06463500,0
06464100,0
06464500,0
06464900,0
06465200,10
06465310,0
06465440,0
06465680,0
06465700,0
06466400,0
06466500,0
06467500,0
06467600,26
06467900,0.8
06468000,0
06468170,900
06468250,763
06468500,70
06469400,600
06469500,300
06470000,0
06470800,13
06470833,1
06471200,496
06471500,923
06471800,0
06472000,153
06472500,0
06473000,68
06473500,0
06473700,0
06473750,0
06474000,87
06474300,0
06474500,0
06475000,65
06475500,0
06476000,143
06476500,136
06477000,0
06477150,0
06477500,103
06478000,0
06478052,36
06478390,227
06478500,216
06478513,0
06478518,0
06478522,0
06478540,15
06478600,0
06478690,250
06479000,730
06479010,0
06479159,0
06479215,0
06479438,0
06479500,84
06479515,90
06479520,0
06479525,0
06479529,0
06479640,78
06479770,0
06479910,0
06479928,0
06479980,104
06480000,0
06480400,0
06480650,0
06481000,732
06481480,0
06481500,0
06482610,0
06482848,300
06483000,0
06483240,0
06483270,830
06483290,0
06483460,0
06483500,545
06483950,0
06484000,81
06485500,0
06485696,0
06485910,0
06485950,0
06486000,0
06599950,0
06600000,1480
06600100,0
06600300,2060
06600500,0
06600900,168
06601000,1090
06602020,3080
06602400,1910
06603000,0
06603500,0
06605000,0
06605600,0
06605850,0
06606600,949
06606700,1900
06607000,0
06607200,5460
06607500,10300
06608000,2170
06608500,6980
06609000,272
06609500,4820
06610000,0
06610500,0
06610520,1390
06610600,0
06610720,3310
06610732,0
06610750,0
06610765,0
06610770,0
06610785,0
06610788,0
06610793,0
06610795,0
06644500,0
06646500,0
06646600,0
06650500,36
06653300,0
06653500,0
06655000,0
06657000,0
06677500,0
06679000,0
06681500,799
06687000,0
06692000,0
06693000,15300
06708600,0
06708690,0
06708800,0
06709000,0
06709500,0
06709530,91
06709740,0
06709910,0
06710000,0
06710150,0
06711040,0
06711500,0
06711515,0
06711555,218
06711570,309
06711575,307
06711618,0
06711770,0
06711780,0
06712000,455
06712500,321
06714000,0
06714360,0
06719560,110
06719840,0
06720000,0
06720460,0
06724970,0
06725000,36
06725450,0
06730500,128
06730525,0
06731000,0
06739500,0
06755960,0
06758200,0
06759100,0
06762500,0.93
06763500,0
06767500,90
06768020,0
06768500,0
06769000,80
06769500,0
06769525,0
06771000,0
06771500,0
06772000,87
06772775,50
06772898,10
06773500,350
06774000,0
06775500,0
06775900,0
06776500,0
06777500,0
06778000,0
06779000,0
06780000,0
06781600,0
06782500,0
06783500,0
06784000,0
06784300,130
06784800,0
06785000,0
06785500,0
06786000,0
06787000,0
06787500,0
06788500,0
06788988,0
06789000,0
06789500,337
06790500,0
06791500,0
06792000,0
06793000,0
06793500,0
06794000,0
06794500,0
06794650,0
06795000,0
06795500,0
06796973,0
06796978,0
06797500,0
06798000,0
06798300,0
06798500,0
06799000,0
06799080,0
06799100,147
06799230,365
06799315,0
06799350,0
06799385,2700
06799445,0
06799450,2770
06799500,5060
06800000,0
06800500,0
06803000,0
06803500,11300
06803510,319
06803520,547
06803530,522
06803555,10000
06804000,0
06804500,0
06804700,2880
06804900,70
06805000,15200
06806000,1100
06806500,1520
06807000,0
06807410,4860
06808000,549
06808500,9920
06809000,199
06809210,3260
06809500,5870
06810000,8020
06810500,0
06811500,9880
06811840,1140
06813000,6000
06814000,6590
06814500,4890
06815000,23200
06815500,0
06816000,0
06817000,6980
06817500,16300
06817700,5580
06818000,0
06818200,0
06818750,2720
06818900,5120
06819185,4930
06819190,3490
06819500,4530
06820000,0
06820410,0
06820500,8510
06821000,181
06821080,2250
06821150,0
06821190,7710
06821500,277
06822000,0
06823000,0
06823500,0
06824500,0
06825000,1200
06825500,250
06827500,0
06828000,0
06830000,2030
06831000,0
06831500,0
06833500,0
06835000,0
06835500,0
06836000,0
06836500,35
06837300,0
06837500,0
06838000,0
06839000,0
06839500,0
06840000,170
06840500,0
06841000,0
06841500,0
06843000,0
06844000,0
06844210,305
06844700,0
06844800,0
06844900,168
06845000,0
06845110,0
06845200,0
06846000,70
06846500,92.9
06847000,75
06847500,0
06847900,0
06848000,0
06848500,0
06850000,450
06850200,0
06850500,0
06851000,190
06851500,619
06852000,0
06853100,0
06853500,0
06853800,308
06854000,0
06854500,0
06855800,0
06855850,0
06855900,0
06856000,0
06856600,0
06857000,0
06858500,0
06859500,0
06860000,112
06860300,0
06860500,14
06861000,0
06863300,0
06863420,29
06863500,0
06863900,0
06864000,0
06864500,0
06866000,0
06866500,0
06866900,0
06867000,0
06867500,164
06868000,0
06868400,520
06868700,32
06868850,0
06869500,0
06869950,673
06870300,714
06871000,0
06871500,0
06871800,0
06871900,586
06872300,308
06873000,0
06873500,0
06873700,0
06874500,150
06875800,0
06876000,0
06876200,0
06876700,0
06876900,0
06877000,0
06877500,810
06877600,0
06878000,0
06878500,0
06878600,3350
06879200,1930
06879500,0
06879650,10
06879810,0
06879900,471
06880000,0
06880500,0
06880800,560
06881000,0
06881200,0
06881380,0
06881450,1660
06881500,6400
06882000,6170
06882510,5150
06883000,0
06883570,0
06883940,0
06884000,1440
06884025,0
06884200,1520
06884400,0
06884500,0
06884900,1200
06885500,0
06886000,6710
06886500,1870
06887500,0
06888000,1860
06888030,0
06888300,0
06888500,0
06889000,0
06889100,0
06889120,0
06889140,537
06889160,1570
06889180,4760
06889200,0
06889500,1470
06889630,1500
06890100,9030
06890500,4290
06890600,0
06891000,0
06891260,1720
06891500,4950
06891850,3420
06892000,1200
06892360,3620
06892495,0
06892500,0
06892513,0
06893000,0
06893080,0
06893100,0
06893150,2310
06893300,0
06893350,0
06893390,0
06893400,0
06893500,4340
06893557,2230
06893562,0
06893578,8280
06893620,0
06893793,3100
06893830,0
06893890,0
06893970,0
06894000,1290
06894200,0
06894500,0
06895000,0
06895500,0
06896000,1930
06896400,4400
06896500,953
06897000,925
06897500,10800
06897950,0
06898000,2260
06898100,0
06898400,0
06898500,0
06899000,4580
06899500,12200
06899700,0
06899900,0
06900000,2500
06900050,8810
06901205,0
06901500,4100
06902000,40300
06902500,0
06903000,4500
06903400,0
06903500,0
06903700,1160
06903900,0
06903990,0
06904000,0
06904500,4940
06905000,0
06905500,0
06906000,0
06906150,0
06906300,0
06906500,196000
06907500,0
06907700,0
06908500,316
06910410,0
06910800,0
06911000,1210
06911490,1890
06911500,1850
06911900,0
06912500,3670
06913000,0
06913500,0
06914000,8890
06914100,0
06914500,0
06914950,2130
06914990,0
06915000,0
06916000,0
06916500,0
06917000,3230
06917060,2660
06917240,1910
06917380,0
06917500,6250
06917560,5180
06917630,220
06918060,7260
06918070,0
06921590,0
06921600,7690
06921720,4900
06921740,0
06921760,12900
06922000,0
06935000,0
07096000,0
07096500,0
07099060,18
07099100,0
07099230,27.9
07099238,13
07099500,0
07099970,2780
07103700,0
07103703,0
07103950,0
07103960,0
07103970,0
07103977,0
07103980,177
07103985,948
07103990,0
07104000,734
07104500,150
07104905,0
07105500,0
07105530,0
07105600,0
07105800,1900
07105900,0
07105940,0
07105950,10
07106000,0
07106300,1490
07106500,946
07107500,0
07108500,0
07108900,763
07116000,900
07116500,307
07119500,284
07120620,33
07121000,0
07121500,0
07122400,0
07123675,0
07124500,0
