UID,Variable Name,Short Name,Scale,Domain,Concept Group,Scale Ord,Domain Ord,ConGrp Ord,Units,Effective Analytical Resolution,Description,Notes
14,cnt_freeze_thaw,Freeze–Thaw Days,Local,Climate,Climate Variability,4,1,2,days,~1–5 sq-km (catchment-level),"Zonal count of freeze–thaw transition days, based on PRISM daily data (1991–2020), aggegated to NHD+ catchments,","Captures thermally transitional zones; relevant for soil structure, infiltration disruption, and freeze–thaw runoff events."
15,prec_intensity,Precip Intensity (95th-percentile),Local,Climate,Climate Variability,4,1,2,mm,~1–5 sq-km (catchment-level),"Zonal median of 95th percentile of daily precip on wet days, based on PRISM daily normals (1991–2020), aggegated to NHD+ catchments",Captures storm severity at the upper tail. Correlated with flash flood potential and runoff generation efficiency.
16,wet_day_freq_seasonal,Wet Day Frequency (Seasonal),Local,Climate,Climate Variability,4,1,2,days,~1–5 sq-km (catchment-level),"Zonal median number of wet days (≥ 0.1 mm/day) per season, based on PRISM daily normals (1991–2020), aggregated to NHD+ catchments.",Describes storm frequency and seasonal spacing. Interacts with intensity to shape hydrograph form and flood likelihood.
23,pct_cov_by_class_nlcd,Land Cover % (NLCD),Local,Land Cover,Land Cover,4,2,3,proportion [0-1],~1–5 sq-km (catchment-level),Zonal median percent cover by dominant NLCD class aggegated to NHD+ catchments,"Proportion of catchment covered by dominant land cover class. Useful for integrating land cover with slope, aspect, and flow."
24,lnd_use_div_ind_nlcd,Land Use Diversity (NLCD),Local,Land Cover,Land Cover,4,2,3,unitless index (Shannon-Weiner),~1–5 sq-km (catchment-level),"Normalized Shannon–Weiner Diversity Index of NLCD land cover classes, aggregated to NHD+ catchments.",Captures local land cover heterogeneity. Useful for modeling transitions or mosaic patterns in mixed-use catchments.
40,elev_range_m,Elevation Range,Local,Topography,Topography,4,3,5,meters,~1–5 sq-km (catchment-level),"Zonal median elevation range (max − min elevation), based on 10 m NED data, aggregated to NHD+ catchments.","Reflects terrain steepness (catchment relief). Indicates potential energy for runoff, erosion risk, and hydrograph flashiness."
41,aspect_cos,Aspect (Cosine),Local,Topography,Topography,4,3,5,dimensionless  [–1 to 1],~1–5 sq-km (catchment-level),"Zonal median of the cosine of aspect, derived from 10 m NED data, aggregated to NHD+ catchments.","North–south slope orientation. +1 = north-facing. Linked to solar exposure, snow persistence, and evapotranspiration."
42,aspect_sin,Aspect (Sine),Local,Topography,Topography,4,3,5,dimensionless [–1 to 1],~1–5 sq-km (catchment-level),"Zonal median of the sine of aspect, derived from 10 m NED data, aggregated to NHD+ catchments.","East–west slope orientation. +1 = east-facing. Influences early-day sun exposure, melt timing, and phenology."
43,curvature_iqr,Curvature IQR,Local,Topography,Topography,4,3,5,unitless,~1–5 sq-km (catchment-level),"IQR of combined curvature types, derived from 10 m NED data, aggregated to NHD+ catchments.","Reflects variation in concavity/convexity across catchment. High values = complex terrain, mixed flow paths, and erosion potential."
44,curvature_planiform,Planform Curvature,Local,Topography,Topography,4,3,5,unitless,~1–5 sq-km (catchment-level),"Zonal median of planform (horizontal) curvature, derived from 10 m NED data, aggregated to NHD+ catchments.","Detects flow convergence/divergence on hillslopes. Negative values indicate channels; positive values indicate ridges. Useful for identifying channel initiation, ponding, and routing divergence."
45,curvature_profile,Profile Curvature,Local,Topography,Topography,4,3,5,unitless,~1–5 sq-km (catchment-level),"Zonal median of profile (vertical) curvature, derived from 10 m NED data, aggregated to NHD+ catchments.",Captures slope acceleration/deceleration along flow paths. Distinguishes concave (depositional) from convex (erosional) zones.
46,wtsd_elong_ratio,Watershed Elongation,Local,Topography,Topography,4,3,5,unitless ratio (m per m),~1–5 sq-km (catchment-level),"Watershed elongation ratio, calculated from catchment geometry, aggregated to NHD+ catchments.","Catchment elongation index. High elongation = quicker runoff and flashier peaks; low elongation = slower, more spread-out hydrograph."
