UID,Variable Name,Short Name,Compact Plot Label,Description,Notes,Unit,Effective Analytical Resolution,Scale,Scale Ordinal,Domain,Domain Ordinal,Concept Group,Concept Group Ordinal
3,altitude,Station Altitude,Station Altitude (m),"Gage-level metadata representing [coordinate/altitude], used as a geospatial covariate for modeling spatial gradients.","Elevation of the gage site above sea level. Influences temperature, snowpack, and runoff timing",meters,Point-defined (gage-level metadata),Station,0,Topography,3,Topography,5
1,longitude,Longitude,Longitude,"Gage-level metadata representing [coordinate/altitude], used as a geospatial covariate for modeling spatial gradients.","Represents site location in degrees east or west. Useful for detecting climatic or physiographic gradients (moisture availability, storm type).",decimal degrees,Point-defined (gage-level metadata),Station,0,Climate,1,Climate Patterns,1
2,latitude,Latitude,Latitude,"Gage-level metadata representing [coordinate/altitude], used as a geospatial covariate for modeling spatial gradients.","Represents site location in degrees north. Commonly used to capture latitudinal patterns in climate and hydrology (e.g., temperature, seasonality).",decimal degrees,Point-defined (gage-level metadata),Station,0,Climate,1,Climate Patterns,1
5,climate_zone_kopp_geig,Climate Zone,Climate Zone,"Dominant Köppen–Geiger climate class, aggregated to macroregional zones.","Provides broad-scale climate context (e.g., humid continental vs. semi-arid). Useful for regional stratification.",categorical code,"~50,000–100,000 sq-km (macroregional zone level)",Macroregional,1,Climate,1,Climate Patterns,1
6,phzm_zone_count,PHZM Zone Count,PHZM Zone Count,"Count of unique USDA Plant Hardiness Zones, aggregated to macroregional zones.","Reflects cold hardiness diversity; transitional zones may influence vegetation, snowmelt timing, and freeze–thaw cycles.",count,"~50,000–100,000 sq-km (macroregional zone level)",Macroregional,1,Climate,1,Climate Patterns,1
7,phzm_zone_majority,PHZM Zone (Dominant),PHZM Zone,"Dominant USDA Plant Hardiness Zone, aggregated to macroregional zones.",Captures dominant cold tolerance regime based on minimum winter temperatures. Relevant for snowmelt timing and freeze–thaw sensitivity.,categorical code,"~50,000–100,000 sq-km (macroregional zone level)",Macroregional,1,Climate,1,Climate Patterns,1
15,temp_ann_med,Annual Temp (Median),Annual Temp (degC),"Zonal median of annual mean temperature from PRISM 1991–2020 climatological normals, aggregated to Level II ecoregions.","Governs evapotranspiration, freeze–thaw, and snowpack formation. Represents the baseline thermal regime.",degrees C,"~50,000–100,000 sq-km, based on Level II ecoregion size and heterogeneity",Regional,2,Climate,1,Climate Patterns,1
16,prec_ann_med,Annual Precip (Median),Annual Precip (mm),"Zonal median of total annual precipitation from PRISM 1991–2020 climatological normals, aggregated to Level II ecoregions.","Represents typical annual moisture supply; important for soil moisture availability, runoff potential, and vegetation productivity.",mm,"~50,000–100,000 sq-km, based on Level II ecoregion size and heterogeneity",Regional,2,Climate,1,Climate Patterns,1
17,prec_ann_pct_may_aug_mean,Pct Annual Precip May–Aug (Mean),Pct Precip May–Aug,"Zonal mean of the percentage of annual precipitation falling May–August from PRISM 1991–2020 climatological normals, aggregated to Level II ecoregions.",Characterizes warm-season water input. Useful for identifying storm-driven systems tied to convective seasonality.,proportion [0–1],"~50,000–100,000 sq-km, based on Level II ecoregion size and heterogeneity",Regional,2,Climate,1,Climate Variability,2
18,prec_ann_pct_may_aug_med,Pct Annual Precip May–Aug (Median),Pct Precip May–Aug,"Zonal median of the percentage of annual precipitation falling May–August from PRISM 1991–2020 climatological normals, aggregated to Level II ecoregions.",Captures the typical proportion of precipitation falling in the warm season—important for Great Plains hydrology.,proportion [0–1],"~50,000–100,000 sq-km, based on Level II ecoregion size and heterogeneity",Regional,2,Climate,1,Climate Variability,2
