field_name,data_type,description,source,domain,
FID,numeric,Internal feature number,ESRI,Sequential unique whole numbers that are automatically generated.,
L1_KEY,character,"NA Level I Code and Name for Legend, color layer/style file",USEPA,unique code plus name,
L2_KEY,character,"NA Level II Code and Name for Legend, color layer/style file",USEPA,unique code plus name,
L3_KEY,character,"US Level III Code and Name for Legend, color layer/style file",USEPA,unique code plus name,
L4_KEY,character,"US Level IV Code and Name for Legend, color layer/style",USEPA,unique code plus name,
NA_L1CODE,character,Code for Level I Ecoregion (North America/CEC),CEC,unique code,
NA_L1NAME,character,Name for Level I Ecoregion (North America/CEC),CEC,unique name,
NA_L2CODE,character,Code for Level II Ecoregion (North America/CEC),CEC,unique code,
NA_L2NAME,character,Name for Level II Ecoregion (North America/CEC),CEC,unique name,
NA_L3CODE,character,Code for Level III Ecoregion (North America/CEC),CEC,unique code,
NA_L3NAME,character,Name for Level III Ecoregion (North America/CEC),CEC,unique name,
US_L3CODE,character,Code for Level III Ecoregion (US),USEPA,unique code,
US_L3NAME,character,Name for Level III Ecoregion (US),USEPA,unique name,
US_L4CODE,character,Code for Level IV Ecoregion (US),USEPA,unique code,
US_L4NAME,character,Name for Level IV Ecoregion (US),USEPA,unique name,
area_km2,numeric,Area in square kilomenters,R,Positive real numbers that are automatically generated.,
geom,sfc_MULTIPOLYGON,feature type,R,defines feature type,
geom,sfc_POLYGON,,,,
,,,,,
,,,,,
,,,,,
