column_name,description
site_no,USGS site identifier
tier,Data reliability category by record length and regulation
n_years,Number of years in period of record
skew_lp3,Sample skewness of log10(peak flow); Bulletin 17C-compatible
station_nm,USGS station name (often includes stream name)
dec_lat_va,Latitude in decimal degrees
dec_long_va,Longitude in decimal degrees
coord_datum_cd,"Coordinate datum (e.g., NAD27, NAD83)"
alt_va,Elevation of gage (feet above datum)
huc_cd,Hydrologic Unit Code (8-digit HUC)
basin_cd,Basin code (regional classification)
topo_cd,Topographic setting code
drain_area_va,Total drainage area (square miles)
contrib_drain_area_va,Contributing drainage area (square miles)
