band,data_type
250m 16 days NDVI,FLT4S
250m 16 days NDVI,FLT4S
250m 16 days NDVI,FLT4S
250m 16 days NDVI,FLT4S
250m 16 days NDVI,FLT4S
250m 16 days NDVI,FLT4S
250m 16 days NDVI,FLT4S
250m 16 days NDVI,FLT4S
250m 16 days NDVI,FLT4S
250m 16 days NDVI,FLT4S
250m 16 days NDVI,FLT4S
250m 16 days NDVI,FLT4S
250m 16 days NDVI,FLT4S
250m 16 days NDVI,FLT4S
250m 16 days NDVI,FLT4S
250m 16 days NDVI,FLT4S
250m 16 days NDVI,FLT4S
250m 16 days NDVI,FLT4S
250m 16 days NDVI,FLT4S
250m 16 days NDVI,FLT4S
250m 16 days NDVI,FLT4S
250m 16 days NDVI,FLT4S
250m 16 days NDVI,FLT4S
250m 16 days NDVI,FLT4S
