file,date,layer,tiles_used
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/processed/modis/mod13a1_ndvi_timeseries/ndvi_2015353.tif,2015353,1,NA
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/processed/modis/mod13a1_ndvi_timeseries/ndvi_2016001.tif,2016001,2,NA
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/processed/modis/mod13a1_ndvi_timeseries/ndvi_2016017.tif,2016017,3,NA
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/processed/modis/mod13a1_ndvi_timeseries/ndvi_2016033.tif,2016033,4,NA
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/processed/modis/mod13a1_ndvi_timeseries/ndvi_2016049.tif,2016049,5,NA
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/processed/modis/mod13a1_ndvi_timeseries/ndvi_2016065.tif,2016065,6,NA
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/processed/modis/mod13a1_ndvi_timeseries/ndvi_2016081.tif,2016081,7,NA
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/processed/modis/mod13a1_ndvi_timeseries/ndvi_2016097.tif,2016097,8,NA
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/processed/modis/mod13a1_ndvi_timeseries/ndvi_2016113.tif,2016113,9,NA
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/processed/modis/mod13a1_ndvi_timeseries/ndvi_2016129.tif,2016129,10,NA
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/processed/modis/mod13a1_ndvi_timeseries/ndvi_2016145.tif,2016145,11,NA
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/processed/modis/mod13a1_ndvi_timeseries/ndvi_2016161.tif,2016161,12,NA
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/processed/modis/mod13a1_ndvi_timeseries/ndvi_2016177.tif,2016177,13,NA
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/processed/modis/mod13a1_ndvi_timeseries/ndvi_2016193.tif,2016193,14,NA
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/processed/modis/mod13a1_ndvi_timeseries/ndvi_2016209.tif,2016209,15,NA
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/processed/modis/mod13a1_ndvi_timeseries/ndvi_2016225.tif,2016225,16,NA
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/processed/modis/mod13a1_ndvi_timeseries/ndvi_2016241.tif,2016241,17,NA
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/processed/modis/mod13a1_ndvi_timeseries/ndvi_2016257.tif,2016257,18,NA
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/processed/modis/mod13a1_ndvi_timeseries/ndvi_2016273.tif,2016273,19,NA
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/processed/modis/mod13a1_ndvi_timeseries/ndvi_2016289.tif,2016289,20,NA
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/processed/modis/mod13a1_ndvi_timeseries/ndvi_2016305.tif,2016305,21,NA
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/processed/modis/mod13a1_ndvi_timeseries/ndvi_2016321.tif,2016321,22,NA
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/processed/modis/mod13a1_ndvi_timeseries/ndvi_2016337.tif,2016337,23,NA
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/processed/modis/mod13a1_ndvi_timeseries/ndvi_2016353.tif,2016353,24,NA
