field_name,data_type
arbolatesu,numeric
areasqkm,numeric
comid,integer
divdasqkm,numeric
divergence,integer
dndraincou,integer
dnhydroseq,numeric
dnlevel,integer
dnlevelpat,numeric
dnminorhyd,numeric
elevfixed,character
enabled,integer
fcode,integer
fdate,POSIXct
flowdir,character
frommeas,numeric
fromnode,numeric
ftype,character
geom,sfc_LINESTRING
gnis_id,character
gnis_name,character
hwnodesqkm,character
hwtype,character
hydroseq,numeric
lakefract,numeric
lengthkm,numeric
levelpathi,numeric
maxelevraw,integer
maxelevsmo,integer
minelevraw,integer
minelevsmo,integer
pathlength,numeric
pathtimema,numeric
qa_01,numeric
qa_02,numeric
qa_03,numeric
qa_04,numeric
qa_05,numeric
qa_06,numeric
qa_07,numeric
qa_08,numeric
qa_09,numeric
qa_10,numeric
qa_11,numeric
qa_12,numeric
qa_ma,numeric
qc_01,numeric
qc_02,numeric
qc_03,numeric
qc_04,numeric
qc_05,numeric
qc_06,numeric
qc_07,numeric
qc_08,numeric
qc_09,numeric
qc_10,numeric
qc_11,numeric
qc_12,numeric
qc_ma,numeric
qe_01,numeric
qe_02,numeric
qe_03,numeric
qe_04,numeric
qe_05,numeric
qe_06,numeric
qe_07,numeric
qe_08,numeric
qe_09,numeric
qe_10,numeric
qe_11,numeric
qe_12,numeric
qe_ma,numeric
rareahload,numeric
reachcode,character
resolution,character
rpuid,character
rtndiv,integer
shape_length,numeric
slope,numeric
slopelenkm,numeric
startflag,integer
streamcalc,integer
streamleve,integer
streamorde,integer
surfarea,numeric
terminalfl,integer
terminalpa,numeric
tidal,integer
tomeas,numeric
tonode,numeric
totdasqkm,numeric
totma,numeric
uphydroseq,numeric
uplevelpat,numeric
va_01,numeric
va_02,numeric
va_03,numeric
va_04,numeric
va_05,numeric
va_06,numeric
va_07,numeric
va_08,numeric
va_09,numeric
va_10,numeric
va_11,numeric
va_12,numeric
va_ma,numeric
vc_01,numeric
vc_02,numeric
vc_03,numeric
vc_04,numeric
vc_05,numeric
vc_06,numeric
vc_07,numeric
vc_08,numeric
vc_09,numeric
vc_10,numeric
vc_11,numeric
vc_12,numeric
vc_ma,numeric
ve_01,numeric
ve_02,numeric
ve_03,numeric
ve_04,numeric
ve_05,numeric
ve_06,numeric
ve_07,numeric
ve_08,numeric
ve_09,numeric
ve_10,numeric
ve_11,numeric
ve_12,numeric
ve_ma,numeric
vpuid,character
vpuin,integer
vpuout,integer
wbareacomi,integer
wbareatype,character
