term,edf,ref.df,statistic,p.value
s(dec_lat_va),5.856342371576478,7.039581973661423,1.7302018368605754,0.09790352672918184
s(dec_long_va),3.185072993415516,4.145226434511618,1.6078261499671114,0.1917672651348492
s(ppt_spring_mm),3.9013034239197015,4.973301367757065,1.819999137497948,0.11314021033834037
s(ppt_summer_mm),1.5747164428366114,1.9399637417827456,1.7852178289416787,0.201735351781823
s(ppt_fall_mm),4.40341764639952,5.663551871179052,1.6885509832927719,0.1217978378088228
s(ppt_winter_mm),7.92717186760501,8.593771669333854,2.8200345439318966,0.0033636701074900577
s(tmean_m01_c),3.307131227466511,4.261910571242813,1.0507325629893411,0.44643372146401905
s(tmean_m06_c),7.346402140403993,8.293291867522775,3.067883674937878,0.0017499895241517849
s(elev_m),1.000000075351576,1.0000001405397931,2.348798399373476,0.1256728975062723
s(slope_deg),3.8632564284611917,4.798724734731027,3.1480403249715647,0.008899670363236523
