term,edf,ref.df,statistic,p.value
s(tmean_m01_c),6.670560756085699,7.6459165745114905,2.3118516866278567,0.047432322423467455
s(tmean_m02_c),1.0000000011273458,1.000000001993565,0.025242678503241,0.8737940162863014
s(tmean_m03_c),1.000000002839915,1.0000000049259508,0.20344863950741496,0.652040979027431
s(tmean_m04_c),1.0000000023616917,1.0000000033088343,0.3681729910228524,0.5441279828059115
s(tmean_m05_c),3.8983237790093686,4.92895478215565,1.5166275583448983,0.19552889815806918
s(tmean_m06_c),7.728099471559127,8.321322479036159,2.0182165135344805,0.03713625684206523
s(tmean_m07_c),1.7836252589745687,2.297921909905328,0.6120227752596181,0.5702796084485621
s(tmean_m08_c),1.0000000010380226,1.0000000018270947,0.009441239887313714,0.922613254974874
s(tmean_m09_c),1.0000000008592034,1.00000000192211,3.13076217008691,0.07710701860654995
s(tmean_m10_c),1.000000001612962,1.0000000021263695,0.0010078991615816756,0.974679765972212
s(tmean_m11_c),1.0000000011819736,1.0000000022960776,0.047013677795177275,0.8283850460239168
s(tmean_m12_c),2.056508709225745,2.5721286024787977,0.366157451593699,0.7728041646276123
